                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
    miss rate                        |       0.26% |       0.20% |       0.26% |       0.26% |       0.26% |       0.25% |       0.26% |       0.26% |       0.22% |       0.22% |       0.27% |       0.26% |       0.27% |       0.26% |       0.26% |       0.26% |       0.22% |       0.22% |       0.26% |       0.26% |       0.26% |       0.26% |       0.28% |       0.26% |       0.23% |       0.23% |       0.27% |       0.27% |       0.27% |       0.26% |       0.26% |       0.27% |       0.23% |       0.22% |       0.27% |       0.27% |       0.27% |       0.27% |       0.27% |       0.26% |       0.23% |       0.22% |       0.27% |       0.27% |       0.27% |       0.27% |       0.26% |       0.26% |       0.23% |       0.23% |       0.27% |       0.27% |       0.26% |       0.26% |       0.29% |       0.28% |       0.23% |       0.22% |       0.26% |       0.26% |       0.26% |       0.28% |       0.26% |       0.26%
    mpki                             |        0.98 |        0.78 |        1.02 |        0.99 |        0.99 |        0.97 |        1.00 |        1.00 |        0.87 |        0.83 |        1.03 |        1.03 |        1.04 |        1.01 |        1.02 |        1.02 |        0.87 |        0.86 |        1.01 |        1.02 |        1.02 |        1.02 |        1.08 |        1.00 |        0.88 |        0.90 |        1.04 |        1.04 |        1.03 |        1.02 |        1.02 |        1.05 |        0.90 |        0.86 |        1.03 |        1.03 |        1.04 |        1.04 |        1.03 |        1.01 |        0.88 |        0.86 |        1.03 |        1.03 |        1.03 |        1.03 |        1.02 |        1.02 |        0.89 |        0.90 |        1.06 |        1.04 |        1.02 |        1.02 |        1.11 |        1.06 |        0.88 |        0.83 |        1.00 |        1.01 |        1.01 |        1.08 |        1.01 |        0.99
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       71773 |       54201 |       70873 |       69035 |       69228 |       68217 |       69989 |       70366 |       60839 |       58125 |       72012 |       71619 |       72852 |       71067 |       71853 |       71510 |       61012 |       59844 |       70725 |       71325 |       71747 |       71784 |       76138 |       70279 |       61686 |       62795 |       72320 |       72710 |       72134 |       71776 |       71295 |       74051 |       62906 |       60198 |       71901 |       72282 |       72966 |       72736 |       72210 |       71189 |       62094 |       59727 |       72056 |       72030 |       72432 |       72261 |       71361 |       71822 |       62471 |       63039 |       73773 |       72356 |       71463 |       71758 |       77853 |       74760 |       61663 |       58047 |       69856 |       70763 |       70615 |       75772 |       70992 |       69453
    num misses                       |       23311 |       14889 |       20376 |       21168 |       20034 |       20626 |       20373 |       20261 |       16130 |       15951 |       22259 |       21955 |       21646 |       22987 |       22616 |       21881 |       16773 |       15606 |       21554 |       22206 |       21832 |       21530 |       22446 |       21001 |       16852 |       16931 |       21367 |       22012 |       21888 |       21920 |       22769 |       22879 |       16962 |       16761 |       21733 |       21305 |       22550 |       21715 |       22177 |       22337 |       16671 |       15759 |       23116 |       21601 |       21907 |       22081 |       21976 |       22298 |       17029 |       16173 |       22828 |       21760 |       21330 |       22228 |       22400 |       21250 |       16792 |       15662 |       20928 |       21786 |       21154 |       21330 |       21559 |       20581
    miss rate                        |      32.48% |      27.47% |      28.75% |      30.66% |      28.94% |      30.24% |      29.11% |      28.79% |      26.51% |      27.44% |      30.91% |      30.66% |      29.71% |      32.35% |      31.48% |      30.60% |      27.49% |      26.08% |      30.48% |      31.13% |      30.43% |      29.99% |      29.48% |      29.88% |      27.32% |      26.96% |      29.55% |      30.27% |      30.34% |      30.54% |      31.94% |      30.90% |      26.96% |      27.84% |      30.23% |      29.47% |      30.90% |      29.85% |      30.71% |      31.38% |      26.85% |      26.39% |      32.08% |      29.99% |      30.24% |      30.56% |      30.80% |      31.05% |      27.26% |      25.66% |      30.94% |      30.07% |      29.85% |      30.98% |      28.77% |      28.42% |      27.23% |      26.98% |      29.96% |      30.79% |      29.96% |      28.15% |      30.37% |      29.63%
    mpki                             |        0.32 |        0.21 |        0.29 |        0.30 |        0.29 |        0.29 |        0.29 |        0.29 |        0.23 |        0.23 |        0.32 |        0.31 |        0.31 |        0.33 |        0.32 |        0.31 |        0.24 |        0.22 |        0.31 |        0.32 |        0.31 |        0.31 |        0.32 |        0.30 |        0.24 |        0.24 |        0.31 |        0.32 |        0.31 |        0.31 |        0.32 |        0.33 |        0.24 |        0.24 |        0.31 |        0.31 |        0.32 |        0.31 |        0.32 |        0.32 |        0.24 |        0.23 |        0.33 |        0.31 |        0.31 |        0.31 |        0.31 |        0.32 |        0.24 |        0.23 |        0.33 |        0.31 |        0.30 |        0.32 |        0.32 |        0.30 |        0.24 |        0.22 |        0.30 |        0.31 |        0.30 |        0.30 |        0.31 |        0.29
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     7271960 |     6855242 |     6914937 |     6912654 |     6930161 |     6932125 |     6948449 |     6948446 |     6921251 |     6866101 |     6924383 |     6926827 |     6941726 |     6943065 |     6959770 |     6959463 |     6932830 |     6865895 |     6924431 |     6926420 |     6941871 |     6943094 |     6959402 |     6959944 |     6932962 |     6865745 |     6924223 |     6926947 |     6942360 |     6943267 |     6959905 |     6959955 |     6932863 |     6865756 |     6924008 |     6926676 |     6942201 |     6943432 |     6959718 |     6959726 |     6932724 |     6865825 |     6924322 |     6926785 |     6942098 |     6943289 |     6959761 |     6959299 |     6933134 |     6865421 |     6924155 |     6926714 |     6941920 |     6943170 |     6959711 |     6959773 |     6933265 |     6862670 |     6920777 |     6923658 |     6939051 |     6940163 |     6956947 |     6956786
