                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   17780866 |   17699016 |   17694992 |   17695706 |   17693747 |   17693118 |   17695560 |   17696358 |   17695818 |   17694950 |   17696262 |   17696100 |   17692308 |   17692176 |   17696179 |   17696182 |   17695932 |   17695941 |   17696842 |   17696918 |   17696491 |   17696438 |   17695552 |   17695737 |   17696897 |   17696810 |   17695226 |   17695190 |   17695717 |   17695689 |   17702467 |   17782118
    num cache misses                 |     396473 |     394928 |     394855 |     394809 |     394743 |     394784 |     394838 |     394788 |     394818 |     394854 |     394827 |     394850 |     394698 |     394709 |     394836 |     394807 |     394812 |     394845 |     394846 |     394835 |     394836 |     394873 |     394852 |     394828 |     394814 |     394853 |     394828 |     394799 |     394816 |     394802 |     394932 |     396455
    miss rate                        |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23% |      2.23%
    mpki                             |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96 |       3.96
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     396871 |     395240 |     395240 |     395210 |     395154 |     395182 |     395217 |     395184 |     395223 |     395234 |     395202 |     395227 |     395123 |     395131 |     395209 |     395203 |     395219 |     395224 |     395214 |     395221 |     395225 |     395257 |     395245 |     395212 |     395210 |     395226 |     395223 |     395167 |     395225 |     395200 |     395206 |     396850
    num cache misses                 |      11251 |      11206 |      11189 |      11186 |      11182 |      11183 |      11181 |      11186 |      11191 |      11195 |      11182 |      11186 |      11179 |      11185 |      11187 |      11180 |      11182 |      11185 |      11187 |      11184 |      11182 |      11191 |      11189 |      11182 |      11189 |      11189 |      11187 |      11180 |      11187 |      11185 |      11209 |      11251
    miss rate                        |      2.83% |      2.84% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.83% |      2.84% |      2.84%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
