                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8928512 |    8898737 |    8876315 |    8876660 |    8883892 |    8893535 |    8886814 |    8876614 |    8898378 |    8884578 |    8874644 |    8872010 |    8912030 |    8899857 |    8898717 |    8918441 |    8924013 |    8897303 |    8882716 |    8874258 |    8876476 |    8894136 |    8883484 |    8875341 |    8886633 |    8887108 |    8881014 |    8878366 |    8907123 |    8894301 |    8908198 |    8925741
    num cache misses                 |       1033 |        926 |        895 |        912 |        929 |        907 |        928 |        922 |        931 |        923 |        908 |        908 |        933 |        926 |        917 |        912 |        963 |        928 |        924 |        922 |        910 |        912 |        908 |        898 |        918 |        917 |        908 |        917 |        917 |        932 |        930 |        973
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   23732499 |   23649561 |   23590064 |   23590988 |   23610179 |   23635764 |   23617917 |   23590853 |   23648614 |   23611992 |   23585637 |   23578650 |   23684837 |   23652544 |   23649510 |   23701858 |   23716898 |   23645757 |   23607057 |   23584611 |   23590497 |   23637359 |   23609081 |   23587488 |   23617455 |   23618705 |   23602538 |   23595515 |   23671821 |   23637803 |   23674667 |   23723810
    num cache misses                 |      47988 |      45056 |      45049 |      45018 |      45014 |      45041 |      45042 |      45000 |      45096 |      45018 |      44994 |      44990 |      45083 |      45057 |      45046 |      45101 |      45254 |      45053 |      45026 |      45001 |      44997 |      45048 |      45048 |      45006 |      45052 |      45062 |      45022 |      45028 |      45109 |      45041 |      45071 |      46981
    miss rate                        |      0.20% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.20%
    mpki                             |       0.48 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.47
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      49121 |      46084 |      46048 |      46028 |      46044 |      46049 |      46068 |      46028 |      46119 |      46044 |      46003 |      46003 |      46103 |      46088 |      46064 |      46116 |      46320 |      46076 |      46051 |      46027 |      46011 |      46059 |      46050 |      46008 |      46066 |      46078 |      46032 |      46042 |      46119 |      46065 |      46099 |      48060
    num cache misses                 |      34972 |      32408 |      32249 |      32265 |      32553 |      32344 |      32538 |      32467 |      32342 |      32469 |      32450 |      32438 |      32738 |      32580 |      32348 |      32363 |      32525 |      32355 |      32346 |      32380 |      32585 |      32160 |      32164 |      32360 |      32476 |      32173 |      32449 |      32277 |      32168 |      32486 |      32475 |      33738
    miss rate                        |     71.20% |     70.32% |     70.03% |     70.10% |     70.70% |     70.24% |     70.63% |     70.54% |     70.13% |     70.52% |     70.54% |     70.51% |     71.01% |     70.69% |     70.22% |     70.18% |     70.22% |     70.22% |     70.24% |     70.35% |     70.82% |     69.82% |     69.85% |     70.34% |     70.50% |     69.82% |     70.49% |     70.10% |     69.75% |     70.52% |     70.45% |     70.20%
    mpki                             |       0.35 |       0.32 |       0.32 |       0.32 |       0.33 |       0.32 |       0.33 |       0.33 |       0.32 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.32 |       0.32 |       0.33 |       0.32 |       0.32 |       0.33 |       0.33 |       0.32 |       0.32 |       0.33 |       0.33 |       0.32 |       0.33 |       0.32 |       0.32 |       0.33 |       0.33 |       0.34
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39219 |      35823 |      36050 |      36142 |      36134 |      35993 |      36243 |      36221 |      35973 |      35922 |      36115 |      36152 |      36177 |      36131 |      36148 |      36066 |      36362 |      35891 |      36076 |      36170 |      36120 |      36050 |      36214 |      36129 |      36140 |      36026 |      36154 |      36107 |      36187 |      36256 |      35830 |      37746
