                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   11931262 |   11873206 |   11873266 |   11873304 |   11872994 |   11873120 |   11873554 |   11873251 |   11874672 |   11874654 |   11875194 |   11875206 |   11874158 |   11874200 |   11873445 |   11873560 |   11873232 |   11873266 |   11874473 |   11874358 |   11872637 |   11872706 |   11873083 |   11873036 |   11873167 |   11873036 |   11873997 |   11873866 |   11873374 |   11873354 |   11873322 |   11930137
    num cache misses                 |        268 |        268 |        269 |        266 |        262 |        264 |        264 |        264 |        264 |        264 |        265 |        265 |        262 |        263 |        263 |        264 |        262 |        264 |        269 |        267 |        266 |        265 |        263 |        263 |        263 |        264 |        264 |        265 |        263 |        263 |        268 |        268
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   17891221 |   17804988 |   17805063 |   17805112 |   17804721 |   17804880 |   17805426 |   17805044 |   17806832 |   17806811 |   17807492 |   17807507 |   17806187 |   17806239 |   17805291 |   17805432 |   17805021 |   17805063 |   17806583 |   17806438 |   17803459 |   17803715 |   17804832 |   17804774 |   17804939 |   17804774 |   17805985 |   17805819 |   17805199 |   17805174 |   17805134 |   17889804
    num cache misses                 |     393770 |     391866 |     391907 |     391900 |     391981 |     391919 |     391916 |     391934 |     391882 |     391917 |     391921 |     391938 |     392018 |     391955 |     391905 |     391915 |     391899 |     391890 |     391903 |     391925 |     391835 |     391824 |     391904 |     391947 |     391885 |     391899 |     391913 |     391923 |     391916 |     391887 |     391873 |     393770
    miss rate                        |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20% |      2.20%
    mpki                             |       3.93 |       3.93 |       3.93 |       3.93 |       3.94 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.94 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93 |       3.93
