                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  mpki                               |        5.10 |        4.19 |        0.06 |        5.24 |        4.17 |        4.17 |        3.89 |        4.18 |        3.88 |        4.14 |        3.75 |        4.11 |        3.87 |        3.80 |        4.02 |        3.86 |        3.79 |        4.24 |        3.77 |        6.07 |        1.46 |        1.82 |        1.73 |        0.14 |        2.04 |        0.11 |        0.12 |        0.14 |        0.14 |        0.12 |        0.11 |        0.15 |        0.13 |        0.09 |        0.11 |        0.13 |        0.11 |        0.14 |        0.10 |        0.13 |        0.09 |        0.12 |        0.11 |        0.15 |        0.11 |        0.10 |        0.09 |        0.13 |        0.09 |        0.10 |        0.10 |        0.13 |        2.38 |        1.89 |        0.36 |       11.44 |       11.60 |       10.17 |       10.25 |       10.28 |       10.82 |       10.94 |       11.64 |        6.36
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    27963428 |    39536796 |     2708097 |    24706177 |    40680354 |    40793093 |    39217539 |    39531436 |    38217074 |    39437126 |    38289086 |    40563602 |    39403356 |    38608382 |    38495434 |    38699202 |    37875182 |    40501292 |    38607544 |    20498547 |    56238980 |    54292480 |    53772190 |    50758460 |    57825371 |    44355588 |    40796760 |    47731902 |    47352902 |    43416254 |    43796440 |    47824340 |    42639476 |    44936443 |    40746173 |    47608892 |    45217095 |    40919445 |    44682391 |    48540576 |    46376056 |    44835065 |    44692148 |    48214766 |    43758774 |    42583533 |    41757643 |    50697566 |    44826942 |    44333339 |    43884054 |    44842951 |       17420 |       17023 |     1967262 |    23575033 |    16535367 |    17195146 |    16876746 |    18539848 |    18177854 |    18230515 |    18304851 |    16385437
    num misses                       |         596 |         732 |         114 |         149 |         144 |         143 |         143 |         143 |         143 |         143 |         143 |         143 |         143 |         143 |         143 |         142 |         143 |         143 |         143 |         150 |         238 |         217 |         217 |         211 |         227 |         209 |         207 |         211 |         223 |         209 |         207 |         208 |         210 |         215 |         206 |         208 |         207 |         206 |         207 |         203 |         207 |         211 |         203 |         201 |         206 |         205 |         202 |         206 |         208 |         207 |         206 |         199 |          62 |          57 |          42 |          51 |          45 |          45 |          45 |          46 |          45 |          45 |          45 |          45
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.36% |       0.33% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.50 |        0.48 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   129830396 |   159203501 |  1340305087 |   111266998 |   151291455 |   152546650 |   144274259 |   147774444 |   141684594 |   149359605 |   141781674 |   154248999 |   150387538 |   144643059 |   144980443 |   144251076 |   140334031 |   154013259 |   144096159 |    99165566 |   153807482 |   155568645 |   153048413 |   122744256 |   167071388 |    95307410 |    87520346 |   116450936 |   101728614 |    93273738 |    93966661 |   116300570 |    91493652 |    96272498 |    87376080 |   116357573 |    97117068 |    88010348 |    95923922 |   118413349 |    99571132 |    96299453 |    95818296 |   117738871 |    94024465 |    91447954 |    89602886 |   122883721 |    96315062 |    95188104 |    94160473 |   105172830 |       52658 |       51177 |    12836341 |   112572137 |    81056671 |    88046275 |    83447214 |    93892242 |    92749472 |    90850416 |    89669237 |    92711002
    num misses                       |      884574 |       35334 |      416254 |       72453 |      265273 |      268636 |      262188 |      265224 |      263367 |      262925 |      262745 |      266501 |      265157 |      267342 |      263337 |      266643 |      266937 |      267109 |      267602 |       15234 |       61191 |       56513 |       61569 |       57687 |       57010 |       51662 |       52101 |       53275 |       55034 |       47528 |       53023 |       53150 |       47764 |       45581 |       48894 |       55111 |       47673 |       49027 |       52771 |       59501 |       52936 |       51000 |       58863 |       58798 |       55067 |       53350 |       56189 |       52013 |       52188 |       53213 |       47066 |       49124 |          87 |          53 |        5044 |       14466 |       10780 |       13269 |       11719 |       13845 |       13701 |       12580 |       12220 |       12925
    miss rate                        |       0.68% |       0.02% |       0.03% |       0.07% |       0.18% |       0.18% |       0.18% |       0.18% |       0.19% |       0.18% |       0.19% |       0.17% |       0.18% |       0.18% |       0.18% |       0.18% |       0.19% |       0.17% |       0.19% |       0.02% |       0.04% |       0.04% |       0.04% |       0.05% |       0.03% |       0.05% |       0.06% |       0.05% |       0.05% |       0.05% |       0.06% |       0.05% |       0.05% |       0.05% |       0.06% |       0.05% |       0.05% |       0.06% |       0.06% |       0.05% |       0.05% |       0.05% |       0.06% |       0.05% |       0.06% |       0.06% |       0.06% |       0.04% |       0.05% |       0.06% |       0.05% |       0.05% |       0.17% |       0.10% |       0.04% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
    mpki                             |        3.35 |        0.10 |        0.32 |        0.29 |        0.68 |        0.69 |        0.69 |        0.70 |        0.71 |        0.69 |        0.70 |        0.68 |        0.69 |        0.71 |        0.71 |        0.71 |        0.72 |        0.69 |        0.71 |        0.08 |        0.13 |        0.12 |        0.13 |        0.13 |        0.12 |        0.14 |        0.16 |        0.13 |        0.14 |        0.13 |        0.15 |        0.13 |        0.14 |        0.12 |        0.15 |        0.13 |        0.13 |        0.15 |        0.14 |        0.14 |        0.14 |        0.14 |        0.16 |        0.14 |        0.15 |        0.15 |        0.17 |        0.12 |        0.14 |        0.15 |        0.13 |        0.13 |        0.71 |        0.44 |        0.14 |        0.07 |        0.07 |        0.08 |        0.07 |        0.08 |        0.08 |        0.07 |        0.07 |        0.07
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      885170 |       36066 |      416368 |       72602 |      265417 |      268779 |      262331 |      265367 |      263510 |      263068 |      262888 |      266644 |      265300 |      267485 |      263480 |      266785 |      267080 |      267252 |      267745 |       15384 |       61429 |       56730 |       61786 |       57898 |       57237 |       51871 |       52308 |       53486 |       55257 |       47737 |       53230 |       53358 |       47974 |       45796 |       49100 |       55319 |       47880 |       49233 |       52978 |       59704 |       53143 |       51211 |       59066 |       58999 |       55273 |       53555 |       56391 |       52219 |       52396 |       53420 |       47272 |       49323 |         149 |         110 |        5086 |       14517 |       10825 |       13314 |       11764 |       13891 |       13746 |       12625 |       12265 |       12970
    num misses                       |       31393 |       11141 |      392427 |        8005 |       15515 |       17152 |       15735 |       15422 |       16363 |       16214 |       16690 |       15352 |       16242 |       17002 |       15451 |       15674 |       15828 |       16513 |       16340 |        4489 |       21321 |       20273 |       20518 |       19895 |       19801 |       18884 |       17997 |       19138 |       20507 |       17983 |       18385 |       18921 |       17755 |       17986 |       17322 |       19439 |       18261 |       17490 |       18664 |       19867 |       19631 |       18717 |       18598 |       20056 |       18574 |       18401 |       17322 |       19886 |       18675 |       18736 |       18018 |       17898 |         142 |         110 |        3215 |        4200 |        3027 |        3684 |        4084 |        4105 |        4431 |        3574 |        4038 |        4851
    miss rate                        |       3.55% |      30.89% |      94.25% |      11.03% |       5.85% |       6.38% |       6.00% |       5.81% |       6.21% |       6.16% |       6.35% |       5.76% |       6.12% |       6.36% |       5.86% |       5.88% |       5.93% |       6.18% |       6.10% |      29.18% |      34.71% |      35.74% |      33.21% |      34.36% |      34.59% |      36.41% |      34.41% |      35.78% |      37.11% |      37.67% |      34.54% |      35.46% |      37.01% |      39.27% |      35.28% |      35.14% |      38.14% |      35.52% |      35.23% |      33.28% |      36.94% |      36.55% |      31.49% |      33.99% |      33.60% |      34.36% |      30.72% |      38.08% |      35.64% |      35.07% |      38.12% |      36.29% |      95.30% |     100.00% |      63.21% |      28.93% |      27.96% |      27.67% |      34.72% |      29.55% |      32.23% |      28.31% |      32.92% |      37.40%
    mpki                             |        0.12 |        0.03 |        0.30 |        0.03 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.02 |        0.04 |        0.04 |        0.04 |        0.05 |        0.04 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        1.16 |        0.92 |        0.09 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.03
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    27963428 |    39536796 |     2708097 |    24706177 |    40680354 |    40793093 |    39217539 |    39531436 |    38217074 |    39437126 |    38289086 |    40563602 |    39403356 |    38608382 |    38495434 |    38699202 |    37875182 |    40501292 |    38607544 |    20498547 |    56238980 |    54292480 |    53772190 |    50758460 |    57825371 |    44355588 |    40796760 |    47731902 |    47352902 |    43416254 |    43796440 |    47824340 |    42639476 |    44936443 |    40746173 |    47608892 |    45217095 |    40919445 |    44682391 |    48540576 |    46376056 |    44835065 |    44692148 |    48214766 |    43758774 |    42583533 |    41757643 |    50697566 |    44826942 |    44333339 |    43884054 |    44842951 |       17420 |       17023 |     1967262 |    23575033 |    16535367 |    17195146 |    16876746 |    18539848 |    18177854 |    18230515 |    18304851 |    16385437
    num cache misses                 |      470394 |      472279 |       62177 |      435607 |      967676 |     1008046 |     1035349 |      971630 |     1007388 |      956226 |     1040783 |      979100 |     1047634 |     1021562 |      938145 |     1014739 |     1002978 |      942091 |     1039701 |      203633 |      308945 |      296711 |      325460 |      155102 |      208191 |      116122 |      111182 |      151275 |      132467 |      119944 |      116544 |      153310 |      116781 |      121049 |      108860 |      150379 |      122119 |      109956 |      122050 |      153762 |      127697 |      121324 |      119420 |      148998 |      118483 |      116922 |      114292 |      151339 |      118771 |      122417 |      116419 |      135476 |         939 |         818 |      250327 |      271372 |      190121 |      247325 |      274416 |      265431 |      292060 |      243864 |      247934 |      328018
    miss rate                        |       1.68% |       1.19% |       2.30% |       1.76% |       2.38% |       2.47% |       2.64% |       2.46% |       2.64% |       2.42% |       2.72% |       2.41% |       2.66% |       2.65% |       2.44% |       2.62% |       2.65% |       2.33% |       2.69% |       0.99% |       0.55% |       0.55% |       0.61% |       0.31% |       0.36% |       0.26% |       0.27% |       0.32% |       0.28% |       0.28% |       0.27% |       0.32% |       0.27% |       0.27% |       0.27% |       0.32% |       0.27% |       0.27% |       0.27% |       0.32% |       0.28% |       0.27% |       0.27% |       0.31% |       0.27% |       0.27% |       0.27% |       0.30% |       0.26% |       0.28% |       0.27% |       0.30% |       5.39% |       4.81% |      12.72% |       1.15% |       1.15% |       1.44% |       1.63% |       1.43% |       1.61% |       1.34% |       1.35% |       2.00%
    mpki                             |        1.78 |        1.30 |        0.05 |        1.76 |        2.50 |        2.57 |        2.71 |        2.56 |        2.71 |        2.51 |        2.78 |        2.50 |        2.71 |        2.70 |        2.53 |        2.69 |        2.72 |        2.43 |        2.75 |        1.07 |        0.64 |        0.63 |        0.70 |        0.35 |        0.42 |        0.32 |        0.33 |        0.36 |        0.34 |        0.34 |        0.33 |        0.37 |        0.34 |        0.33 |        0.33 |        0.36 |        0.33 |        0.33 |        0.34 |        0.37 |        0.34 |        0.33 |        0.33 |        0.36 |        0.33 |        0.34 |        0.34 |        0.34 |        0.32 |        0.34 |        0.33 |        0.35 |        7.64 |        6.85 |        6.81 |        1.23 |        1.22 |        1.46 |        1.65 |        1.46 |        1.62 |        1.39 |        1.41 |        1.87
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   129830396 |   159203501 |  1340305087 |   111266998 |   151291455 |   152546650 |   144274259 |   147774444 |   141684594 |   149359605 |   141781674 |   154248999 |   150387538 |   144643059 |   144980443 |   144251076 |   140334031 |   154013259 |   144096159 |    99165566 |   153807482 |   155568645 |   153048413 |   122744256 |   167071388 |    95307410 |    87520346 |   116450936 |   101728614 |    93273738 |    93966661 |   116300570 |    91493652 |    96272498 |    87376080 |   116357573 |    97117068 |    88010348 |    95923922 |   118413349 |    99571132 |    96299453 |    95818296 |   117738871 |    94024465 |    91447954 |    89602886 |   122883721 |    96315062 |    95188104 |    94160473 |   105172830 |       52658 |       51177 |    12836341 |   112572137 |    81056671 |    88046275 |    83447214 |    93892242 |    92749472 |    90850416 |    89669237 |    92711002
    num cache misses                 |     3388311 |     2257053 |    22020450 |     1904629 |     3653932 |     3601509 |     3402577 |     3464564 |     3419333 |     3515915 |     3386822 |     3603518 |     3489039 |     3410229 |     3466433 |     3434681 |     3435163 |     3658956 |     3464764 |     1563902 |     2598994 |     2596873 |     2564875 |     1913495 |     2852798 |     1806070 |     1654136 |     1863520 |     1855223 |     1702145 |     1720752 |     1893290 |     1677452 |     1721165 |     1657518 |     1863846 |     1742743 |     1625928 |     1743360 |     1921122 |     1809375 |     1749426 |     1739150 |     1897343 |     1734307 |     1710940 |     1665471 |     1936217 |     1797411 |     1742775 |     1699195 |     1756920 |        2422 |        2273 |       69777 |     1704329 |     1166990 |     1186226 |     1150799 |     1408931 |     1221022 |     1336946 |     1275334 |     1316142
    miss rate                        |       2.61% |       1.42% |       1.64% |       1.71% |       2.42% |       2.36% |       2.36% |       2.34% |       2.41% |       2.35% |       2.39% |       2.34% |       2.32% |       2.36% |       2.39% |       2.38% |       2.45% |       2.38% |       2.40% |       1.58% |       1.69% |       1.67% |       1.68% |       1.56% |       1.71% |       1.89% |       1.89% |       1.60% |       1.82% |       1.82% |       1.83% |       1.63% |       1.83% |       1.79% |       1.90% |       1.60% |       1.79% |       1.85% |       1.82% |       1.62% |       1.82% |       1.82% |       1.82% |       1.61% |       1.84% |       1.87% |       1.86% |       1.58% |       1.87% |       1.83% |       1.80% |       1.67% |       4.60% |       4.44% |       0.54% |       1.51% |       1.44% |       1.35% |       1.38% |       1.50% |       1.32% |       1.47% |       1.42% |       1.42%
    mpki                             |       12.82 |        6.24 |       16.73 |        7.71 |        9.43 |        9.18 |        8.92 |        9.12 |        9.21 |        9.23 |        9.05 |        9.21 |        9.02 |        9.02 |        9.35 |        9.12 |        9.32 |        9.44 |        9.18 |        8.20 |        5.40 |        5.54 |        5.51 |        4.36 |        5.80 |        4.99 |        4.97 |        4.50 |        4.81 |        4.81 |        4.82 |        4.56 |        4.83 |        4.70 |        4.99 |        4.50 |        4.73 |        4.87 |        4.79 |        4.56 |        4.78 |        4.79 |        4.77 |        4.53 |        4.86 |        4.93 |        4.89 |        4.41 |        4.91 |        4.82 |        4.75 |        4.60 |       19.71 |       19.04 |        1.90 |        7.71 |        7.47 |        7.00 |        6.93 |        7.75 |        6.76 |        7.62 |        7.27 |        7.50
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     3956092 |     2834824 |    22115084 |     2430998 |     4733011 |     4732661 |     4541146 |     4558902 |     4536494 |     4572039 |     4545098 |     4694711 |     4644210 |     4548926 |     4527195 |     4561466 |     4564344 |     4705075 |     4629291 |     1883351 |     3107740 |     3066854 |     3066306 |     2201546 |     3229374 |     2042777 |     1877560 |     2138514 |     2117532 |     1941138 |     1957154 |     2170391 |     1911271 |     1965750 |     1877881 |     2136444 |     1988680 |     1847160 |     1987710 |     2200265 |     2064463 |     1993132 |     1981007 |     2170244 |     1972235 |     1944637 |     1894275 |     2218462 |     2038565 |     1987128 |     1935294 |     2010412 |        3464 |        3179 |      323350 |     1992500 |     1443269 |     1513575 |     1503641 |     1754721 |     1591722 |     1665570 |     1601800 |     1740012
