                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    miss rate                        |      2.01% |      2.16% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.16% |      2.16% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.15% |      2.16% |      2.01%
    mpki                             |      14.03 |      15.14 |      15.11 |      15.11 |      15.12 |      15.12 |      15.10 |      15.12 |      15.12 |      15.12 |      15.08 |      15.10 |      15.11 |      15.08 |      15.12 |      15.16 |      15.16 |      15.12 |      15.12 |      15.12 |      15.12 |      15.12 |      15.10 |      15.11 |      15.12 |      15.12 |      15.08 |      15.10 |      15.11 |      15.08 |      15.14 |      14.03
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1436046 |    1247881 |    1253286 |    1253034 |    1252232 |    1252318 |    1255716 |    1253158 |    1252273 |    1252174 |    1257330 |    1255689 |    1253557 |    1257883 |    1253244 |    1242889 |    1242840 |    1253381 |    1252661 |    1252848 |    1251386 |    1251439 |    1255795 |    1253479 |    1252769 |    1252628 |    1257292 |    1255583 |    1253677 |    1257792 |    1248509 |    1436061
    num cache misses                 |    1072123 |     991167 |     986329 |     986069 |     985390 |     985292 |     987212 |     986309 |     985224 |     985330 |     988190 |     986909 |     986567 |     988865 |     986737 |     982962 |     982937 |     986803 |     985817 |     985918 |     985801 |     985646 |     987327 |     986558 |     985714 |     985586 |     988215 |     986857 |     986783 |     988878 |     991013 |    1072130
    miss rate                        |     74.66% |     79.43% |     78.70% |     78.69% |     78.69% |     78.68% |     78.62% |     78.71% |     78.67% |     78.69% |     78.59% |     78.60% |     78.70% |     78.61% |     78.73% |     79.09% |     79.09% |     78.73% |     78.70% |     78.69% |     78.78% |     78.76% |     78.62% |     78.71% |     78.68% |     78.68% |     78.60% |     78.60% |     78.71% |     78.62% |     79.38% |     74.66%
    mpki                             |      10.71 |      12.26 |      12.12 |      12.12 |      12.12 |      12.11 |      12.09 |      12.12 |      12.11 |      12.12 |      12.08 |      12.09 |      12.12 |      12.08 |      12.13 |      12.21 |      12.22 |      12.12 |      12.12 |      12.12 |      12.13 |      12.13 |      12.09 |      12.12 |      12.11 |      12.11 |      12.08 |      12.09 |      12.12 |      12.08 |      12.25 |      10.71
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1087731 |    1001210 |     996306 |     996035 |     995359 |     995243 |     997196 |     996294 |     995188 |     995298 |     998195 |     996896 |     996486 |     998845 |     996637 |     992842 |     992798 |     996701 |     995829 |     995901 |     995776 |     995590 |     997284 |     996488 |     995683 |     995549 |     998215 |     996823 |     996731 |     998849 |    1001056 |    1087741
    num cache misses                 |    1066329 |     988709 |     985652 |     985328 |     984914 |     984792 |     986109 |     985261 |     984703 |     984855 |     987372 |     985938 |     985091 |     987453 |     984767 |     981047 |     981017 |     984803 |     985225 |     985224 |     985194 |     984995 |     986197 |     985422 |     985243 |     985086 |     987363 |     985868 |     985328 |     987525 |     988580 |    1066248
    miss rate                        |     98.03% |     98.75% |     98.93% |     98.93% |     98.95% |     98.95% |     98.89% |     98.89% |     98.95% |     98.95% |     98.92% |     98.90% |     98.86% |     98.86% |     98.81% |     98.81% |     98.81% |     98.81% |     98.94% |     98.93% |     98.94% |     98.94% |     98.89% |     98.89% |     98.95% |     98.95% |     98.91% |     98.90% |     98.86% |     98.87% |     98.75% |     98.02%
    mpki                             |      10.65 |      12.23 |      12.11 |      12.11 |      12.11 |      12.11 |      12.08 |      12.11 |      12.11 |      12.11 |      12.07 |      12.08 |      12.10 |      12.06 |      12.10 |      12.19 |      12.19 |      12.10 |      12.11 |      12.11 |      12.13 |      12.12 |      12.08 |      12.10 |      12.11 |      12.11 |      12.07 |      12.08 |      12.10 |      12.07 |      12.22 |      10.65
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    2086768 |          0 |    2005372 |          0 |    2003050 |          0 |    2002701 |          0 |    2002214 |          0 |    2001855 |          0 |    2004393 |          0 |    2002765 |          0 |    2002062 |          0 |    2002056 |          0 |    2006937 |          0 |    2003961 |          0 |    2002423 |          0 |    2007081 |          0 |    2005216 |          0 |    2086711 |          0
  average dram access latency (ns)   |      40.37 |        inf |      40.00 |        inf |      39.98 |        inf |      39.97 |        inf |      40.00 |        inf |      39.99 |        inf |      39.90 |        inf |      39.97 |        inf |      39.98 |        inf |      39.99 |        inf |      39.85 |        inf |      39.91 |        inf |      39.97 |        inf |      39.81 |        inf |      39.99 |        inf |      40.37 |        inf
  average dram queueing delay        |       2.94 |       0.00 |       2.57 |       0.00 |       2.55 |       0.00 |       2.54 |       0.00 |       2.57 |       0.00 |       2.56 |       0.00 |       2.47 |       0.00 |       2.54 |       0.00 |       2.55 |       0.00 |       2.56 |       0.00 |       2.42 |       0.00 |       2.48 |       0.00 |       2.54 |       0.00 |       2.39 |       0.00 |       2.56 |       0.00 |       2.95 |       0.00
  average dram bandwidth utilization |     27.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     26.00% |      0.00% |     27.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1044439 |     970378 |     966955 |     966726 |     966298 |     966167 |     967591 |     966760 |     966165 |     966282 |     968636 |     967375 |     966844 |     969083 |     966754 |     963135 |     963105 |     966815 |     966562 |     966630 |     966580 |     966401 |     967701 |     966951 |     966515 |     966440 |     968641 |     967308 |     967054 |     969110 |     970229 |    1044308
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
