                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14200571 |   14193757 |   14193844 |   14193792 |   14192102 |   14194158 |   14193731 |   14193188 |   14192357 |   14193388 |   14192100 |   14193063 |   14194298 |   14194240 |   14194379 |   14192976 |   14193638 |   14194003 |   14193519 |   14194150 |   14191806 |   14193837 |   14193369 |   14193740 |   14193524 |   14193102 |   14193279 |   14194161 |   14192688 |   14193936 |   14193663 |   14199143
    num cache misses                 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724 |       2724
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   59375402 |   59348918 |   59349331 |   59349112 |   59342199 |   59350575 |   59348810 |   59346782 |   59343329 |   59347502 |   59342192 |   59346226 |   59351183 |   59350895 |   59351497 |   59345926 |   59348450 |   59349985 |   59348036 |   59350540 |   59341094 |   59349315 |   59347469 |   59348839 |   59348046 |   59346356 |   59347127 |   59350594 |   59344787 |   59349672 |   59348547 |   59370086
    num cache misses                 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304 |        304
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148 |       3148
    num cache misses                 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714
    miss rate                        |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45% |     54.45%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834 |       1834
    num cache misses                 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714 |       1714
    miss rate                        |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46% |     93.46%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0 |       3428 |          0
  average dram access latency (ns)   |      65.27 |        inf |      65.38 |        inf |      66.05 |        inf |      65.37 |        inf |      69.99 |        inf |      65.59 |        inf |      65.71 |        inf |      65.63 |        inf |      65.02 |        inf |      65.48 |        inf |      68.02 |        inf |      64.88 |        inf |      66.10 |        inf |      64.78 |        inf |      65.39 |        inf |      65.99 |        inf
  average dram queueing delay        |      27.84 |       0.00 |      27.95 |       0.00 |      28.62 |       0.00 |      27.94 |       0.00 |      32.56 |       0.00 |      28.16 |       0.00 |      28.28 |       0.00 |      28.20 |       0.00 |      27.59 |       0.00 |      28.05 |       0.00 |      30.59 |       0.00 |      27.45 |       0.00 |      28.67 |       0.00 |      27.35 |       0.00 |      27.96 |       0.00 |      28.56 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154 |        154
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
