                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  mpki                               |       0.24 |       3.91 |       2.00 |       0.09 |       0.50 |       0.09 |       0.47 |       0.09 |       0.48 |       0.09 |       0.45 |       0.08 |       0.45 |       0.09 |       0.48 |       0.09 |       0.09 |       0.46 |       0.08 |       0.45 |       0.09 |       0.44 |       0.09 |       0.43 |       0.08 |       0.46 |       0.09 |       0.43 |       0.09 |       0.42 |       0.08 |       0.42 |       0.44 |       0.43 |       0.43 |       0.40 |       0.40 |       0.42 |       0.40 |       0.39 |       0.39 |       0.41 |       0.40 |       0.38 |       0.36 |       0.37 |       0.39 |       0.37 |       0.36 |       4.40 |       4.20 |       4.05 |       4.34 |       4.25 |       4.20 |       3.61 |       4.40 |       3.90 |       4.39 |       4.32 |       4.95 |       4.85 |       5.21 |       5.20
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4385072 |    7242257 |     276277 |     231695 |     289867 |     232893 |     276071 |     231774 |     302471 |     233976 |     315069 |     231768 |     320795 |     232943 |     332398 |     231761 |     235037 |     341957 |     231729 |     351312 |     232845 |     291509 |     231716 |     300547 |     233852 |     315087 |     231720 |     327610 |     232861 |     340144 |     231691 |     346059 |     357583 |     366834 |     300986 |     316736 |     325601 |     340224 |     352808 |     365359 |     371130 |     382705 |     310299 |     326028 |     341679 |     350764 |     365447 |     377833 |     390284 |    3402658 |    3319870 |    3320900 |    3402358 |    3321203 |    3401948 |    3320683 |    3401087 |    3312862 |    3390248 |    3303548 |    3379821 |    3293217 |    3367117 |    3279829
    num misses                       |        133 |        159 |        119 |         36 |         36 |         36 |         36 |         36 |         36 |         36 |         29 |         36 |         31 |         36 |         36 |         36 |         36 |         37 |         36 |         31 |         36 |         35 |         36 |         36 |         30 |         36 |         36 |         36 |         36 |         36 |         36 |         36 |         36 |         30 |         35 |         35 |         36 |         36 |         36 |         36 |         36 |         36 |         30 |         29 |         36 |         36 |         35 |         36 |         36 |         44 |         43 |         38 |         44 |         38 |         44 |         43 |         37 |         38 |         43 |         43 |         43 |         43 |         38 |         38
    miss rate                        |      0.00% |      0.00% |      0.04% |      0.02% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.02% |      0.02% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.04 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.00 |       0.01 |       0.00 |       0.01 |       0.01 |       0.00 |       0.01 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.00 |       0.01 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   14423865 |   22425007 |     459731 |     322153 |    2920875 |     333556 |    2759889 |     330211 |    3077248 |     344866 |    3233455 |     330040 |    3383118 |     341765 |    3506721 |     338293 |     356307 |    3624150 |     329918 |    3741108 |     341507 |    2882537 |     338087 |    3071423 |     352656 |    3233694 |     338053 |    3390026 |     349842 |    3546338 |     346141 |    3696260 |    3819517 |    3936351 |    2999857 |    3195598 |    3384128 |    3546408 |    3702803 |    3859202 |    4008918 |    4132271 |    3116742 |    3312259 |    3507842 |    3697146 |    3859302 |    4015388 |    4171592 |   10605526 |   10433162 |   10451490 |   10604334 |   10451084 |   10610696 |   10447011 |   10607130 |   10432175 |   10898699 |   10730011 |   11179049 |   11023744 |   11467788 |   11299027
    num misses                       |       9605 |      64598 |      24940 |      24499 |        196 |      24482 |        187 |      24518 |        203 |      24363 |        186 |      24432 |        188 |      24560 |        214 |      24496 |      24475 |        209 |      24472 |        219 |      24478 |        195 |      24470 |        201 |      24479 |        211 |      24439 |        246 |      24344 |        216 |      24515 |        221 |        222 |        199 |        203 |        214 |        249 |        223 |        226 |        233 |        236 |        231 |        191 |        235 |        228 |        234 |        233 |        249 |        244 |      30347 |      27835 |      27740 |      33215 |      27718 |      30288 |      28027 |      30260 |      27988 |      30409 |      27759 |      32461 |      28026 |      30083 |      27623
    miss rate                        |      0.07% |      0.29% |      5.42% |      7.60% |      0.01% |      7.34% |      0.01% |      7.42% |      0.01% |      7.06% |      0.01% |      7.40% |      0.01% |      7.19% |      0.01% |      7.24% |      6.87% |      0.01% |      7.42% |      0.01% |      7.17% |      0.01% |      7.24% |      0.01% |      6.94% |      0.01% |      7.23% |      0.01% |      6.96% |      0.01% |      7.08% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.29% |      0.27% |      0.27% |      0.31% |      0.27% |      0.29% |      0.27% |      0.29% |      0.27% |      0.28% |      0.26% |      0.29% |      0.25% |      0.26% |      0.24%
    mpki                             |       0.21 |       1.09 |       7.49 |       8.29 |       0.03 |       8.23 |       0.03 |       8.26 |       0.03 |       8.14 |       0.02 |       8.23 |       0.02 |       8.22 |       0.03 |       8.22 |       8.13 |       0.02 |       8.24 |       0.03 |       8.19 |       0.03 |       8.21 |       0.03 |       8.15 |       0.03 |       8.20 |       0.03 |       8.11 |       0.03 |       8.19 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       1.14 |       1.05 |       1.04 |       1.24 |       1.04 |       1.13 |       1.05 |       1.13 |       1.06 |       1.09 |       1.00 |       1.11 |       0.96 |       0.98 |       0.91
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       9738 |      64757 |      25059 |      24535 |        232 |      24518 |        223 |      24554 |        239 |      24399 |        215 |      24468 |        219 |      24596 |        250 |      24532 |      24511 |        246 |      24508 |        250 |      24514 |        230 |      24506 |        237 |      24509 |        247 |      24475 |        282 |      24380 |        252 |      24551 |        257 |        258 |        229 |        238 |        249 |        285 |        259 |        262 |        269 |        272 |        267 |        221 |        264 |        264 |        270 |        268 |        285 |        280 |      30391 |      27878 |      27778 |      33259 |      27756 |      30332 |      28070 |      30297 |      28026 |      30452 |      27802 |      32504 |      28069 |      30121 |      27661
    num misses                       |       1873 |      50540 |       2157 |       1860 |        183 |       1835 |        183 |       1853 |        184 |       1904 |        160 |       1842 |        162 |       1881 |        190 |       1855 |       1877 |        192 |       1814 |        168 |       1843 |        183 |       1873 |        184 |       1827 |        188 |       1826 |        191 |       1842 |        193 |       1876 |        192 |        196 |        171 |        187 |        192 |        192 |        195 |        196 |        199 |        199 |        201 |        167 |        170 |        198 |        201 |        200 |        204 |        205 |      17269 |      16074 |      15946 |      17445 |      15923 |      17255 |      16009 |      16977 |      15264 |      16389 |      15138 |      16594 |      15125 |      16493 |      15150
    miss rate                        |     19.23% |     78.05% |      8.61% |      7.58% |     78.88% |      7.48% |     82.06% |      7.55% |     76.99% |      7.80% |     74.42% |      7.53% |     73.97% |      7.65% |     76.00% |      7.56% |      7.66% |     78.05% |      7.40% |     67.20% |      7.52% |     79.57% |      7.64% |     77.64% |      7.45% |     76.11% |      7.46% |     67.73% |      7.56% |     76.59% |      7.64% |     74.71% |     75.97% |     74.67% |     78.57% |     77.11% |     67.37% |     75.29% |     74.81% |     73.98% |     73.16% |     75.28% |     75.57% |     64.39% |     75.00% |     74.44% |     74.63% |     71.58% |     73.21% |     56.82% |     57.66% |     57.41% |     52.45% |     57.37% |     56.89% |     57.03% |     56.04% |     54.46% |     53.82% |     54.45% |     51.05% |     53.89% |     54.76% |     54.77%
    mpki                             |       0.04 |       0.86 |       0.65 |       0.63 |       0.03 |       0.62 |       0.03 |       0.62 |       0.03 |       0.64 |       0.02 |       0.62 |       0.02 |       0.63 |       0.02 |       0.62 |       0.62 |       0.02 |       0.61 |       0.02 |       0.62 |       0.03 |       0.63 |       0.03 |       0.61 |       0.03 |       0.61 |       0.02 |       0.61 |       0.02 |       0.63 |       0.02 |       0.02 |       0.02 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.65 |       0.61 |       0.60 |       0.65 |       0.60 |       0.65 |       0.60 |       0.64 |       0.58 |       0.59 |       0.54 |       0.57 |       0.52 |       0.54 |       0.50
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4385072 |    7242257 |     276277 |     231695 |     289867 |     232893 |     276071 |     231774 |     302471 |     233976 |     315069 |     231768 |     320795 |     232943 |     332398 |     231761 |     235037 |     341957 |     231729 |     351312 |     232845 |     291509 |     231716 |     300547 |     233852 |     315087 |     231720 |     327610 |     232861 |     340144 |     231691 |     346059 |     357583 |     366834 |     300986 |     316736 |     325601 |     340224 |     352808 |     365359 |     371130 |     382705 |     310299 |     326028 |     341679 |     350764 |     365447 |     377833 |     390284 |    3402658 |    3319870 |    3320900 |    3402358 |    3321203 |    3401948 |    3320683 |    3401087 |    3312862 |    3390248 |    3303548 |    3379821 |    3293217 |    3367117 |    3279829
    num cache misses                 |      11326 |    1839092 |       6651 |        612 |       1913 |        571 |       2175 |        504 |       1964 |        544 |       1887 |        492 |       1997 |        573 |       1947 |        529 |        535 |       1982 |        490 |       1935 |        552 |       1909 |        476 |       1991 |        486 |       1919 |        477 |       1967 |        525 |       1950 |        463 |       2045 |       1971 |       1958 |       1922 |       1977 |       2002 |       1922 |       1953 |       1954 |       2091 |       1972 |       1874 |       1887 |       1909 |       2060 |       1943 |       1980 |       2008 |     189322 |     157608 |     158230 |     189060 |     158156 |     188715 |     157985 |     189188 |     157519 |     189081 |     158141 |     189428 |     158795 |     187473 |     156676
    miss rate                        |      0.26% |     25.39% |      2.41% |      0.26% |      0.66% |      0.25% |      0.79% |      0.22% |      0.65% |      0.23% |      0.60% |      0.21% |      0.62% |      0.25% |      0.59% |      0.23% |      0.23% |      0.58% |      0.21% |      0.55% |      0.24% |      0.65% |      0.21% |      0.66% |      0.21% |      0.61% |      0.21% |      0.60% |      0.23% |      0.57% |      0.20% |      0.59% |      0.55% |      0.53% |      0.64% |      0.62% |      0.61% |      0.56% |      0.55% |      0.53% |      0.56% |      0.52% |      0.60% |      0.58% |      0.56% |      0.59% |      0.53% |      0.52% |      0.51% |      5.56% |      4.75% |      4.76% |      5.56% |      4.76% |      5.55% |      4.76% |      5.56% |      4.75% |      5.58% |      4.79% |      5.60% |      4.82% |      5.57% |      4.78%
    mpki                             |       0.25 |      31.13 |       2.00 |       0.21 |       0.28 |       0.19 |       0.34 |       0.17 |       0.28 |       0.18 |       0.25 |       0.17 |       0.25 |       0.19 |       0.24 |       0.18 |       0.18 |       0.24 |       0.17 |       0.22 |       0.18 |       0.29 |       0.16 |       0.28 |       0.16 |       0.26 |       0.16 |       0.25 |       0.17 |       0.24 |       0.15 |       0.24 |       0.22 |       0.21 |       0.28 |       0.27 |       0.26 |       0.23 |       0.23 |       0.22 |       0.22 |       0.21 |       0.26 |       0.25 |       0.24 |       0.24 |       0.22 |       0.21 |       0.21 |       7.09 |       5.94 |       5.95 |       7.08 |       5.95 |       7.06 |       5.94 |       7.09 |       5.94 |       6.76 |       5.68 |       6.48 |       5.45 |       6.14 |       5.16
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14423865 |   22425007 |     459731 |     322153 |    2920875 |     333556 |    2759889 |     330211 |    3077248 |     344866 |    3233455 |     330040 |    3383118 |     341765 |    3506721 |     338293 |     356307 |    3624150 |     329918 |    3741108 |     341507 |    2882537 |     338087 |    3071423 |     352656 |    3233694 |     338053 |    3390026 |     349842 |    3546338 |     346141 |    3696260 |    3819517 |    3936351 |    2999857 |    3195598 |    3384128 |    3546408 |    3702803 |    3859202 |    4008918 |    4132271 |    3116742 |    3312259 |    3507842 |    3697146 |    3859302 |    4015388 |    4171592 |   10605526 |   10433162 |   10451490 |   10604334 |   10451084 |   10610696 |   10447011 |   10607130 |   10432175 |   10898699 |   10730011 |   11179049 |   11023744 |   11467788 |   11299027
    num cache misses                 |      93246 |     234718 |      26231 |      19904 |      14280 |      20085 |      13615 |      19867 |      14908 |      21038 |      15455 |      20090 |      15733 |      20562 |      16411 |      20052 |      21755 |      16785 |      19860 |      17166 |      20359 |      14404 |      19961 |      14977 |      21174 |      15609 |      20129 |      16191 |      20520 |      16662 |      20376 |      17160 |      17704 |      18093 |      15057 |      15767 |      16328 |      16974 |      17582 |      18187 |      18525 |      19167 |      15424 |      16141 |      16942 |      17690 |      18317 |      18883 |      19034 |     110731 |     106070 |     105192 |     110857 |     104918 |     110383 |     104804 |      99012 |      95058 |      99700 |      96241 |     103103 |     100290 |     101287 |      95463
    miss rate                        |      0.65% |      1.05% |      5.71% |      6.18% |      0.49% |      6.02% |      0.49% |      6.02% |      0.48% |      6.10% |      0.48% |      6.09% |      0.47% |      6.02% |      0.47% |      5.93% |      6.11% |      0.46% |      6.02% |      0.46% |      5.96% |      0.50% |      5.90% |      0.49% |      6.00% |      0.48% |      5.95% |      0.48% |      5.87% |      0.47% |      5.89% |      0.46% |      0.46% |      0.46% |      0.50% |      0.49% |      0.48% |      0.48% |      0.47% |      0.47% |      0.46% |      0.46% |      0.49% |      0.49% |      0.48% |      0.48% |      0.47% |      0.47% |      0.46% |      1.04% |      1.02% |      1.01% |      1.05% |      1.00% |      1.04% |      1.00% |      0.93% |      0.91% |      0.91% |      0.90% |      0.92% |      0.91% |      0.88% |      0.84%
    mpki                             |       2.07 |       3.97 |       7.88 |       6.73 |       2.12 |       6.75 |       2.14 |       6.69 |       2.10 |       7.03 |       2.07 |       6.77 |       2.01 |       6.88 |       2.02 |       6.73 |       7.22 |       1.99 |       6.69 |       1.97 |       6.82 |       2.17 |       6.70 |       2.11 |       7.05 |       2.09 |       6.75 |       2.06 |       6.84 |       2.03 |       6.81 |       2.00 |       1.99 |       1.98 |       2.18 |       2.14 |       2.09 |       2.07 |       2.05 |       2.03 |       1.99 |       1.99 |       2.15 |       2.11 |       2.09 |       2.07 |       2.05 |       2.03 |       1.96 |       4.15 |       4.00 |       3.95 |       4.15 |       3.94 |       4.13 |       3.94 |       3.71 |       3.59 |       3.56 |       3.46 |       3.53 |       3.44 |       3.32 |       3.14
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     107170 |    2081576 |      33074 |      20732 |      17434 |      20830 |      17007 |      20538 |      18123 |      21755 |      18590 |      20751 |      18981 |      21312 |      19608 |      20753 |      22478 |      20017 |      20535 |      20379 |      21084 |      17561 |      20617 |      18222 |      21835 |      18786 |      20793 |      19408 |      21230 |      19868 |      21014 |      20458 |      21540 |      21913 |      18461 |      19263 |      19851 |      20454 |      21155 |      21745 |      22558 |      23078 |      18778 |      19512 |      20391 |      21412 |      21980 |      22571 |      22307 |     312550 |     272681 |     274102 |     312332 |     273167 |     311402 |     273560 |     300440 |     263336 |     299108 |     264050 |     302719 |     269895 |     298602 |     260956
    num cache misses                 |      82642 |     149715 |      17798 |       9038 |       7618 |       7601 |       7321 |       7899 |       7848 |       9378 |       7900 |       8165 |       7895 |       9552 |       8269 |       7932 |       8860 |       8448 |       9108 |       8441 |       9051 |       7727 |       7739 |       7886 |       9292 |       8108 |       7549 |       8259 |       8000 |       8340 |       9413 |       8454 |       9305 |       9278 |       8240 |       8467 |       8553 |       8759 |       9011 |       9156 |       9617 |       9921 |       8299 |       8508 |       8855 |       9142 |       9366 |       9463 |       8960 |      34998 |      32574 |      32881 |      35769 |      33024 |      35659 |      33092 |      34842 |      32335 |      34492 |      32096 |      34214 |      32267 |      34047 |      31647
