                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    miss rate                        |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36% |     15.36%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911 |       1911
    num cache misses                 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780 |       1780
    miss rate                        |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14% |     93.14%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0 |       3560 |          0
  average dram access latency (ns)   |      63.92 |        inf |      64.76 |        inf |      69.69 |        inf |      65.30 |        inf |      66.72 |        inf |      65.10 |        inf |      64.52 |        inf |      67.04 |        inf |      64.90 |        inf |      66.37 |        inf |      66.81 |        inf |      65.43 |        inf |      66.68 |        inf |      65.05 |        inf |      64.22 |        inf |      66.07 |        inf
  average dram queueing delay        |      26.49 |       0.00 |      27.33 |       0.00 |      32.26 |       0.00 |      27.87 |       0.00 |      29.29 |       0.00 |      27.67 |       0.00 |      27.09 |       0.00 |      29.61 |       0.00 |      27.47 |       0.00 |      28.94 |       0.00 |      29.39 |       0.00 |      28.00 |       0.00 |      29.25 |       0.00 |      27.62 |       0.00 |      26.79 |       0.00 |      28.65 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164 |        164
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
