                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache accesses               |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |      10681 |     257872 |     261491 |     260677 |     262120 |     253414 |     570621 |     570497 |     570409 |     570665 |     570528 |     570554 |    1313706 |    1313774 |    1319514 |    1319781 |    1298133 |    1287408 |    1267854 |    1268011 |    1271130 |    1271181
    num cache misses                 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |       8864 |     139929 |     150820 |     150381 |     151340 |     146526 |     324951 |     324941 |     324909 |     325003 |     325019 |     324955 |    1033673 |    1033232 |    1036599 |    1037113 |    1024631 |    1015823 |     997990 |     997916 |    1002703 |    1003221
    miss rate                        |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.99% |     54.26% |     57.68% |     57.69% |     57.74% |     57.82% |     56.95% |     56.96% |     56.96% |     56.95% |     56.97% |     56.95% |     78.68% |     78.65% |     78.56% |     78.58% |     78.93% |     78.90% |     78.71% |     78.70% |     78.88% |     78.92%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.10 |       6.15 |       6.55 |       6.54 |       6.55 |       6.57 |       6.53 |       6.53 |       6.53 |       6.53 |       6.53 |       6.53 |      70.18 |      70.15 |      70.15 |      70.18 |      70.37 |      70.27 |      70.08 |      70.06 |      70.23 |      70.26
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |      10681 |     140526 |     151583 |     151127 |     152168 |     147242 |     328462 |     328444 |     328420 |     328520 |     328522 |     328471 |    1034035 |    1033618 |    1036933 |    1037457 |    1025022 |    1016171 |     998325 |     998277 |    1003058 |    1003591
    num cache misses                 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |       8864 |     138165 |     150681 |     150250 |     151063 |     146350 |     324684 |     324675 |     324636 |     324716 |     324780 |     324724 |    1031043 |    1030421 |    1033140 |    1033626 |    1021769 |    1013690 |     995771 |     995647 |    1001025 |    1001987
    miss rate                        |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.99% |     98.32% |     99.40% |     99.42% |     99.27% |     99.39% |     98.85% |     98.85% |     98.85% |     98.84% |     98.86% |     98.86% |     99.71% |     99.69% |     99.63% |     99.63% |     99.68% |     99.76% |     99.74% |     99.74% |     99.80% |     99.84%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.10 |       6.07 |       6.54 |       6.54 |       6.54 |       6.56 |       6.52 |       6.52 |       6.52 |       6.53 |       6.53 |       6.53 |      70.00 |      69.95 |      69.92 |      69.94 |      70.17 |      70.12 |      69.93 |      69.90 |      70.11 |      70.17
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     328872 |          0 |     328862 |          0 |     328822 |          0 |     328895 |          0 |     328957 |          0 |     328905 |          0 |    1853064 |          0 |    1851544 |          0 |    1856571 |          0 |    1856975 |          0 |    1848539 |          0 |    1960580 |          0 |    1940257 |          0 |    1939717 |          0 |    1950629 |          0 |    1947524 |          0
  average dram access latency (ns)   |      38.17 |        inf |      38.17 |        inf |      38.17 |        inf |      38.16 |        inf |      38.17 |        inf |      38.17 |        inf |     245.83 |        inf |     244.50 |        inf |     244.00 |        inf |     245.26 |        inf |     252.24 |        inf |     243.31 |        inf |     238.84 |        inf |     239.96 |        inf |     236.92 |        inf |     245.13 |        inf
  average dram queueing delay        |       0.74 |       0.00 |       0.74 |       0.00 |       0.74 |       0.00 |       0.73 |       0.00 |       0.74 |       0.00 |       0.74 |       0.00 |     208.40 |       0.00 |     207.07 |       0.00 |     206.57 |       0.00 |     207.83 |       0.00 |     214.81 |       0.00 |     205.88 |       0.00 |     201.41 |       0.00 |     202.53 |       0.00 |     199.49 |       0.00 |     207.70 |       0.00
  average dram bandwidth utilization |     13.00% |      0.00% |     13.00% |      0.00% |     13.00% |      0.00% |     13.00% |      0.00% |     13.00% |      0.00% |     13.00% |      0.00% |     74.00% |      0.00% |     73.00% |      0.00% |     74.00% |      0.00% |     74.00% |      0.00% |     73.00% |      0.00% |     78.00% |      0.00% |     77.00% |      0.00% |     77.00% |      0.00% |     77.00% |      0.00% |     77.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |       2000 |     138091 |     148952 |     148545 |     149428 |     144708 |     320765 |     320751 |     320720 |     320819 |     320819 |     320768 |     198299 |     198346 |     199122 |     199181 |     195918 |     194265 |     191371 |     191417 |     191894 |     191922
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
