                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15244632 |   14112366 |   14137925 |   14142275 |   14130940 |   14146134 |   14145919 |   14145182 |   14136647 |   14135760 |   14133709 |   14135614 |   14139967 |   14137962 |   14137784 |   14060725 |   14059113 |   14137456 |   14135247 |   14142241 |   14132076 |   14146152 |   14145505 |   14146443 |   14135407 |   14135157 |   14134005 |   14135628 |   14140153 |   14138538 |   14113444 |   15243253
    num cache misses                 |       9268 |       8705 |       8173 |       8173 |       8248 |       8283 |       8167 |       8180 |       8178 |       8158 |       8168 |       8203 |       8167 |       8149 |       8368 |       8361 |       8345 |       8369 |       8191 |       8203 |       8249 |       8272 |       8158 |       8187 |       8165 |       8153 |       8163 |       8195 |       8161 |       8148 |       8704 |       9273
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   68068976 |   62957520 |   63072914 |   63092618 |   63041491 |   63110093 |   63109122 |   63105777 |   63067122 |   63063102 |   63054040 |   63062448 |   63082168 |   63073083 |   63072269 |   62724003 |   62716918 |   63070787 |   63060782 |   63092457 |   63046639 |   63110175 |   63107241 |   63111497 |   63061503 |   63060409 |   63055375 |   63062503 |   63083007 |   63075692 |   62962395 |   68062724
    num cache misses                 |    1339975 |    1249858 |    1251715 |    1252117 |    1251098 |    1252472 |    1252332 |    1252368 |    1251752 |    1251548 |    1251293 |    1251651 |    1251932 |    1251825 |    1251862 |    1245174 |    1244987 |    1251860 |    1251461 |    1252137 |    1251170 |    1252505 |    1252390 |    1252606 |    1251635 |    1251525 |    1251405 |    1251678 |    1251989 |    1251787 |    1249907 |    1339790
    miss rate                        |      1.97% |      1.99% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.99% |      1.99% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.98% |      1.99% |      1.97%
    mpki                             |      13.39 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.50 |      13.39
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1357975 |    1266376 |    1267670 |    1268072 |    1267170 |    1268571 |    1268277 |    1268333 |    1267725 |    1267489 |    1267250 |    1267672 |    1267899 |    1267767 |    1268016 |    1261356 |    1261144 |    1268013 |    1267445 |    1268116 |    1267228 |    1268579 |    1268353 |    1268596 |    1267596 |    1267445 |    1267339 |    1267662 |    1267944 |    1267717 |    1266417 |    1357783
    num cache misses                 |     613538 |     569379 |     564118 |     564435 |     565172 |     566307 |     564333 |     564583 |     564166 |     563755 |     563869 |     564422 |     564128 |     563808 |     566386 |     563127 |     563045 |     566380 |     564230 |     564780 |     565206 |     566229 |     564395 |     564631 |     563953 |     563627 |     563888 |     564313 |     564109 |     563771 |     569467 |     613470
    miss rate                        |     45.18% |     44.96% |     44.50% |     44.51% |     44.60% |     44.64% |     44.50% |     44.51% |     44.50% |     44.48% |     44.50% |     44.52% |     44.49% |     44.47% |     44.67% |     44.64% |     44.65% |     44.67% |     44.52% |     44.54% |     44.60% |     44.63% |     44.50% |     44.51% |     44.49% |     44.47% |     44.49% |     44.52% |     44.49% |     44.47% |     44.97% |     45.18%
    mpki                             |       6.13 |       6.15 |       6.08 |       6.08 |       6.10 |       6.10 |       6.08 |       6.09 |       6.08 |       6.08 |       6.08 |       6.09 |       6.08 |       6.08 |       6.11 |       6.11 |       6.11 |       6.11 |       6.09 |       6.09 |       6.10 |       6.10 |       6.08 |       6.09 |       6.08 |       6.08 |       6.08 |       6.09 |       6.08 |       6.08 |       6.15 |       6.13
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     622300 |     577225 |     571930 |     572247 |     573026 |     574153 |     572141 |     572398 |     571991 |     571568 |     571688 |     572270 |     571958 |     571631 |     574204 |     570980 |     570889 |     574196 |     572053 |     572586 |     573046 |     574061 |     572230 |     572464 |     571779 |     571424 |     571689 |     572132 |     571933 |     571583 |     577305 |     622223
    num cache misses                 |     611040 |     568368 |     563571 |     563912 |     564635 |     565800 |     563862 |     564090 |     563668 |     563255 |     563343 |     563888 |     563582 |     563288 |     565482 |     562246 |     562183 |     565456 |     563670 |     564219 |     564626 |     565673 |     563953 |     564136 |     563425 |     563070 |     563380 |     563799 |     563643 |     563253 |     568493 |     611043
    miss rate                        |     98.19% |     98.47% |     98.54% |     98.54% |     98.54% |     98.55% |     98.55% |     98.55% |     98.54% |     98.55% |     98.54% |     98.54% |     98.54% |     98.54% |     98.48% |     98.47% |     98.48% |     98.48% |     98.53% |     98.54% |     98.53% |     98.54% |     98.55% |     98.55% |     98.54% |     98.54% |     98.55% |     98.54% |     98.55% |     98.54% |     98.47% |     98.20%
    mpki                             |       6.10 |       6.14 |       6.08 |       6.08 |       6.09 |       6.10 |       6.08 |       6.08 |       6.08 |       6.07 |       6.08 |       6.08 |       6.08 |       6.07 |       6.10 |       6.10 |       6.10 |       6.10 |       6.08 |       6.08 |       6.09 |       6.10 |       6.08 |       6.08 |       6.08 |       6.07 |       6.08 |       6.08 |       6.08 |       6.07 |       6.14 |       6.10
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1192123 |          0 |    1151726 |          0 |    1145088 |          0 |    1145973 |          0 |    1147181 |          0 |    1149409 |          0 |    1145697 |          0 |    1146106 |          0 |    1144971 |          0 |    1144190 |          0 |    1144596 |          0 |    1145571 |          0 |    1145094 |          0 |    1144397 |          0 |    1151892 |          0 |    1192201 |          0
  average dram access latency (ns)   |      39.65 |        inf |      39.27 |        inf |      39.26 |        inf |      39.23 |        inf |      39.29 |        inf |      39.20 |        inf |      39.19 |        inf |      39.20 |        inf |      39.25 |        inf |      39.26 |        inf |      39.28 |        inf |      39.26 |        inf |      39.24 |        inf |      39.25 |        inf |      39.27 |        inf |      39.65 |        inf
  average dram queueing delay        |       2.22 |       0.00 |       1.84 |       0.00 |       1.84 |       0.00 |       1.80 |       0.00 |       1.86 |       0.00 |       1.77 |       0.00 |       1.76 |       0.00 |       1.77 |       0.00 |       1.82 |       0.00 |       1.83 |       0.00 |       1.85 |       0.00 |       1.83 |       0.00 |       1.81 |       0.00 |       1.82 |       0.00 |       1.84 |       0.00 |       2.22 |       0.00
  average dram bandwidth utilization |     25.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     24.00% |      0.00% |     25.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     602598 |     559313 |     554664 |     554986 |     555676 |     556760 |     554891 |     555126 |     554736 |     554328 |     554432 |     554972 |     554713 |     554402 |     556699 |     553480 |     553409 |     556700 |     554772 |     555301 |     555695 |     556681 |     554991 |     555191 |     554523 |     554188 |     554431 |     554849 |     554689 |     554340 |     559387 |     602532
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
