                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache misses                 |    6001653 |    6001980 |    6001867 |    6002093 |    6001855 |    6001875 |    6000785 |    6001749 |    6001786 |    6001685 |    6001890 |    6001870 |    6001782 |    6001695 |    6001844 |    6001709 |      29986 |      29971 |      29983 |      29971 |      29971 |      29985 |      29985 |      29971 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522
    miss rate                        |     66.99% |     67.00% |     67.00% |     67.00% |     67.00% |     67.00% |     66.99% |     67.00% |     67.00% |     66.99% |     67.00% |     67.00% |     67.00% |     67.00% |     67.00% |     67.00% |      5.37% |      5.36% |      5.37% |      5.36% |      5.36% |      5.37% |      5.37% |      5.36% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |      59.95 |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6001769 |    6002091 |    6001965 |    6002199 |    6001970 |    6001973 |    6000892 |    6001867 |    6001900 |    6001790 |    6002008 |    6001977 |    6001896 |    6001780 |    6001951 |    6001816 |      33007 |      32991 |      33004 |      32991 |      32991 |      33006 |      33006 |      32991 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634
    num cache misses                 |    5370188 |    5370186 |    5370208 |    5370179 |    5370180 |    5370214 |    5370145 |    5370120 |    5370194 |    5370214 |    5370201 |    5370193 |    5370207 |    5370190 |    5370203 |    5370196 |      27683 |      27673 |      27680 |      27673 |      27673 |      27682 |      27682 |      27673 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522
    miss rate                        |     89.48% |     89.47% |     89.47% |     89.47% |     89.47% |     89.47% |     89.49% |     89.47% |     89.47% |     89.48% |     89.47% |     89.47% |     89.48% |     89.48% |     89.47% |     89.48% |     83.87% |     83.88% |     83.87% |     83.88% |     83.88% |     83.87% |     83.87% |     83.88% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33%
    mpki                             |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   18783784 |          0 |   18783917 |          0 |   18783734 |          0 |   18783773 |          0 |   18783843 |          0 |   18783733 |          0 |   18783819 |          0 |   18783730 |          0 |      59855 |          0 |      59852 |          0 |      59854 |          0 |      59854 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0
  average dram access latency (ns)   |     100.60 |        inf |     101.06 |        inf |     101.30 |        inf |     100.46 |        inf |     101.33 |        inf |     101.26 |        inf |     101.31 |        inf |     101.41 |        inf |      32.06 |        inf |      32.07 |        inf |      32.07 |        inf |      32.06 |        inf |      37.62 |        inf |      37.76 |        inf |      37.86 |        inf |      38.55 |        inf
  average dram queueing delay        |      68.73 |       0.00 |      69.20 |       0.00 |      69.44 |       0.00 |      68.59 |       0.00 |      69.47 |       0.00 |      69.40 |       0.00 |      69.45 |       0.00 |      69.54 |       0.00 |       0.20 |       0.00 |       0.20 |       0.00 |       0.20 |       0.00 |       0.20 |       0.00 |       5.75 |       0.00 |       5.90 |       0.00 |       6.00 |       0.00 |       6.69 |       0.00
  average dram bandwidth utilization |     47.00% |      0.00% |     47.00% |      0.00% |     47.00% |      0.00% |     47.00% |      0.00% |     47.00% |      0.00% |     47.00% |      0.00% |     47.00% |      0.00% |     47.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1344839 |    1344922 |    1344899 |    1344910 |    1344899 |    1344947 |    1344781 |    1344878 |    1344882 |    1344916 |    1344930 |    1344929 |    1344901 |    1344884 |    1344912 |    1344886 |      27336 |      27327 |      27333 |      27327 |      27327 |      27335 |      27335 |      27327 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
