                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     778536 |   15370786 |     694328 |   15371286 |     694437 |   15371724 |     660792 |   15372124 |     677796 |   15369383 |     710768 |   15288522 |   15357880 |     713828 |   15374212 |     679577 |     680792 |   15372006 |     650724 |   15317321 |     717532 |   15356656 |     701968 |   15366638 |     741659 |   15366717 |     632988 |   15338973 |   15371114 |     744312 |   15370092 |     730204
    num cache misses                 |       3067 |      10297 |       2753 |      10297 |       2913 |      10297 |       2836 |      10297 |       2930 |      10297 |       2755 |      10249 |      10293 |       2866 |      10297 |       2879 |       2998 |      10297 |       2769 |      10265 |       2862 |      10293 |       2830 |      10293 |       2962 |      10297 |       2698 |      10300 |      10297 |       2930 |      10299 |       2919
    miss rate                        |      0.39% |      0.07% |      0.40% |      0.07% |      0.42% |      0.07% |      0.43% |      0.07% |      0.43% |      0.07% |      0.39% |      0.07% |      0.07% |      0.40% |      0.07% |      0.42% |      0.44% |      0.07% |      0.43% |      0.07% |      0.40% |      0.07% |      0.40% |      0.07% |      0.40% |      0.07% |      0.43% |      0.07% |      0.07% |      0.39% |      0.07% |      0.40%
    mpki                             |       0.60 |       0.10 |       0.60 |       0.10 |       0.64 |       0.10 |       0.65 |       0.10 |       0.66 |       0.10 |       0.59 |       0.10 |       0.10 |       0.61 |       0.10 |       0.64 |       0.67 |       0.10 |       0.64 |       0.10 |       0.60 |       0.10 |       0.61 |       0.10 |       0.61 |       0.10 |       0.65 |       0.10 |       0.10 |       0.60 |       0.10 |       0.61
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4251284 |   84508654 |    3788140 |   84511404 |    3788735 |   84513817 |    3603692 |   84516018 |    3697214 |   84500939 |    3878560 |   84056200 |   84437675 |    3895390 |   84527502 |    3707005 |    3713692 |   84515364 |    3548318 |   84214598 |    3915762 |   84430943 |    3830160 |   84485839 |    4048460 |   84486276 |    3450770 |   84333684 |   84510456 |    4063052 |   84504841 |    3985458
    num cache misses                 |     480529 |    9601957 |     427764 |    9602264 |     427895 |    9602538 |     406844 |    9602788 |     417518 |    9601074 |     438050 |    9550524 |    9593888 |     440011 |    9604093 |     418590 |     419440 |    9602714 |     400494 |    9568536 |     442327 |    9593126 |     432584 |    9599360 |     457446 |    9599411 |     389390 |    9582090 |    9602157 |     459115 |    9601522 |     450258
    miss rate                        |     11.30% |     11.36% |     11.29% |     11.36% |     11.29% |     11.36% |     11.29% |     11.36% |     11.29% |     11.36% |     11.29% |     11.36% |     11.36% |     11.30% |     11.36% |     11.29% |     11.29% |     11.36% |     11.29% |     11.36% |     11.30% |     11.36% |     11.29% |     11.36% |     11.30% |     11.36% |     11.28% |     11.36% |     11.36% |     11.30% |     11.36% |     11.30%
    mpki                             |      93.71 |      96.04 |      93.39 |      96.04 |      93.40 |      96.04 |      93.26 |      96.04 |      93.34 |      96.04 |      93.45 |      96.04 |      96.04 |      93.47 |      96.04 |      93.34 |      93.36 |      96.04 |      93.20 |      96.04 |      93.49 |      96.04 |      93.43 |      96.04 |      93.58 |      96.04 |      93.11 |      96.04 |      96.04 |      93.59 |      96.04 |      93.53
