                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   13457701 |   13453005 |   13452446 |   13452602 |   13453170 |   13452131 |   13451686 |   13452655 |   13451776 |   13450431 |   13452577 |   13450762 |   13452699 |   13453078 |   13451230 |   13451687 |   13452458 |   13451483 |   13451312 |   13451469 |   13450251 |   13450579 |   13452634 |   13452254 |   13452053 |   13451940 |   13451837 |   13451040 |   13453043 |   13451834 |   13451818 |   13457762
    num cache misses                 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110 |      21110
    miss rate                        |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16%
    mpki                             |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   54583173 |   54560868 |   54558343 |   54558942 |   54561728 |   54557035 |   54555171 |   54559147 |   54555622 |   54548938 |   54558857 |   54550281 |   54559312 |   54561273 |   54552692 |   54555174 |   54558402 |   54554064 |   54553132 |   54553989 |   54548201 |   54549612 |   54559099 |   54557462 |   54556762 |   54556293 |   54555922 |   54551670 |   54561061 |   54555915 |   54555845 |   54583486
    num cache misses                 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324 |        324
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602 |      21602
    num cache misses                 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787
    miss rate                        |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27% |      8.27%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955 |       1955
    num cache misses                 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787 |       1787
    miss rate                        |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41% |     91.41%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0 |       3574 |          0
  average dram access latency (ns)   |      65.79 |        inf |      64.44 |        inf |      63.97 |        inf |      64.71 |        inf |      64.53 |        inf |      66.15 |        inf |      64.70 |        inf |      63.95 |        inf |      64.79 |        inf |      65.91 |        inf |      65.39 |        inf |      66.44 |        inf |      63.99 |        inf |      63.84 |        inf |      65.78 |        inf |      64.04 |        inf
  average dram queueing delay        |      28.36 |       0.00 |      27.01 |       0.00 |      26.54 |       0.00 |      27.28 |       0.00 |      27.10 |       0.00 |      28.72 |       0.00 |      27.27 |       0.00 |      26.52 |       0.00 |      27.36 |       0.00 |      28.49 |       0.00 |      27.96 |       0.00 |      29.01 |       0.00 |      26.56 |       0.00 |      26.41 |       0.00 |      28.35 |       0.00 |      26.62 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211 |        211
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
