                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache accesses               |     112135 |     108788 |     108721 |     108777 |     108718 |     108746 |     108804 |     108746 |     108741 |     108787 |     108765 |     108763 |     108838 |     108736 |     108747 |     108808 |     108740 |     108664 |     108772 |     108604 |     108860 |     108712 |     108755 |     108742 |     108734 |     108795 |     108768 |     108759 |     108727 |     108805 |     108772 |     112134
    num cache misses                 |      63666 |      62668 |      61990 |      62166 |      61823 |      61805 |      62165 |      61979 |      61849 |      61877 |      61787 |      61755 |      62102 |      61979 |      61984 |      62144 |      62086 |      62005 |      62246 |      62222 |      62215 |      62191 |      61587 |      61599 |      61897 |      62093 |      61715 |      61692 |      61745 |      61883 |      62646 |      63684
    miss rate                        |     56.78% |     57.61% |     57.02% |     57.15% |     56.87% |     56.83% |     57.13% |     56.99% |     56.88% |     56.88% |     56.81% |     56.78% |     57.06% |     57.00% |     57.00% |     57.11% |     57.10% |     57.06% |     57.23% |     57.29% |     57.15% |     57.21% |     56.63% |     56.65% |     56.93% |     57.07% |     56.74% |     56.72% |     56.79% |     56.88% |     57.59% |     56.79%
    mpki                             |       0.64 |       0.64 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.62 |       0.62 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.64 |       0.64
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      64092 |      63094 |      62397 |      62569 |      62220 |      62213 |      62562 |      62385 |      62266 |      62278 |      62197 |      62165 |      62517 |      62379 |      62392 |      62541 |      62500 |      62390 |      62668 |      62618 |      62628 |      62593 |      62001 |      62012 |      62307 |      62496 |      62118 |      62111 |      62148 |      62287 |      63066 |      64117
    num cache misses                 |      62395 |      61791 |      61674 |      61508 |      61479 |      61529 |      61490 |      61695 |      61522 |      61440 |      61443 |      61473 |      61528 |      61683 |      61704 |      61512 |      61586 |      61613 |      61673 |      61630 |      61585 |      61524 |      61417 |      61371 |      61623 |      61441 |      61376 |      61430 |      61535 |      61431 |      61759 |      62407
    miss rate                        |     97.35% |     97.93% |     98.84% |     98.30% |     98.81% |     98.90% |     98.29% |     98.89% |     98.81% |     98.65% |     98.79% |     98.89% |     98.42% |     98.88% |     98.90% |     98.35% |     98.54% |     98.75% |     98.41% |     98.42% |     98.33% |     98.29% |     99.06% |     98.97% |     98.90% |     98.31% |     98.81% |     98.90% |     99.01% |     98.63% |     97.93% |     97.33%
    mpki                             |       0.62 |       0.63 |       0.63 |       0.62 |       0.62 |       0.62 |       0.62 |       0.63 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.63 |       0.63 |       0.62 |       0.62 |       0.63 |       0.63 |       0.63 |       0.62 |       0.62 |       0.62 |       0.62 |       0.63 |       0.62 |       0.62 |       0.62 |       0.62 |       0.62 |       0.63 |       0.62
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     162622 |          0 |     161917 |          0 |     161907 |          0 |     161627 |          0 |     161595 |          0 |     161559 |          0 |     161400 |          0 |     161577 |          0 |     161668 |          0 |     161357 |          0 |     161303 |          0 |     161412 |          0 |     161579 |          0 |     161640 |          0 |     161991 |          0 |     162541 |          0
  average dram access latency (ns)   |      49.97 |        inf |      50.65 |        inf |      51.08 |        inf |      50.53 |        inf |      50.11 |        inf |      50.04 |        inf |      50.75 |        inf |      50.28 |        inf |      51.58 |        inf |      50.93 |        inf |      51.02 |        inf |      50.52 |        inf |      50.61 |        inf |      50.70 |        inf |      50.49 |        inf |      49.81 |        inf
  average dram queueing delay        |      12.54 |       0.00 |      13.22 |       0.00 |      13.65 |       0.00 |      13.10 |       0.00 |      12.68 |       0.00 |      12.61 |       0.00 |      13.32 |       0.00 |      12.86 |       0.00 |      14.15 |       0.00 |      13.50 |       0.00 |      13.59 |       0.00 |      13.09 |       0.00 |      13.18 |       0.00 |      13.27 |       0.00 |      13.06 |       0.00 |      12.38 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00% |      8.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      34389 |      34315 |      34281 |      34227 |      34229 |      34245 |      34223 |      34287 |      34251 |      34221 |      34234 |      34238 |      34261 |      34273 |      34285 |      34236 |      34278 |      34253 |      34314 |      34260 |      34296 |      34261 |      34223 |      34209 |      34258 |      34202 |      34220 |      34232 |      34235 |      34209 |      34313 |      34398
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
