                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  mpki                               |        1.33 |        0.10 |        0.10 |        0.10 |        0.11 |        0.10 |        0.13 |        0.11 |        0.11 |        0.09 |        0.11 |        0.12 |        0.11 |        0.10 |        0.09 |        0.11 |        0.10 |        0.11 |        0.12 |        0.09 |        0.12 |        0.11 |        0.11 |        0.11 |        0.10 |        0.11 |        0.12 |        0.13 |        0.10 |        0.11 |        0.11 |        0.12 |        0.11 |        0.13 |        0.11 |        0.11 |        0.12 |        0.10 |        0.10 |        0.12 |        0.11 |        0.12 |        0.12 |        0.10 |        0.11 |        0.12 |        0.11 |        0.11 |        0.10 |        0.13 |        0.10 |        0.13 |        0.11 |        0.10 |        0.11 |        0.13 |        0.12 |        0.12 |        0.10 |        0.10 |        0.10 |        0.12 |        0.11 |        0.12
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    11011846 |    98674876 |    74790167 |    70969350 |    65255395 |    66992140 |    60976862 |    56804996 |    67470604 |    62170621 |    62964736 |    62139591 |    61128545 |    59878852 |    70654475 |    63247617 |    71003032 |    61733247 |    64884505 |    65995213 |    57258076 |    58935004 |    53367845 |    66266459 |    73285165 |    56132718 |    64507529 |    50112587 |    82079879 |    53520454 |    50321279 |    52873967 |    75297161 |    52106969 |    55522016 |    72688869 |    53147251 |    65235986 |    78448491 |    50133176 |    55585396 |    80515908 |    56463220 |    52883354 |    79282593 |    53050909 |    67572885 |    50845149 |    52398339 |    51914655 |    85663119 |    50886944 |    55378713 |    81365017 |    49753800 |    51110652 |    79042633 |    54409168 |    53519226 |    73600953 |    54288169 |    49942749 |    75658438 |    76258763
    num misses                       |         543 |         116 |         112 |         118 |         113 |         117 |         121 |         108 |         108 |         117 |         106 |         114 |         122 |         111 |         104 |         105 |         108 |         111 |         120 |         100 |         116 |         118 |         109 |         109 |         109 |         105 |         103 |         112 |         118 |         105 |         125 |         100 |         122 |         125 |         121 |         120 |         116 |         116 |         113 |         114 |         113 |         123 |         112 |         110 |         110 |         116 |         107 |         101 |         110 |         108 |         101 |         116 |         112 |         114 |         110 |         112 |         105 |         113 |         114 |         116 |         107 |         110 |         118 |         116
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    32922456 |   211339622 |   159175149 |   151313435 |   139111987 |   142765464 |   130233505 |   121007483 |   143727159 |   132484798 |   134078085 |   132455227 |   130482636 |   127560432 |   150349569 |   134717681 |   151222178 |   131569970 |   138374044 |   140450301 |   122168904 |   125663562 |   113760902 |   141189946 |   156042822 |   119711393 |   137556758 |   106938903 |   174852005 |   114047627 |   107600122 |   112710427 |   160686139 |   111443033 |   118656210 |   155119902 |   113418230 |   139196788 |   167125405 |   107011171 |   118676381 |   171812065 |   120571288 |   112744674 |   168868597 |   113241571 |   144027635 |   108282598 |   111630995 |   110848970 |   182208691 |   108698286 |   118204945 |   173280322 |   106033399 |   109124261 |   168342677 |   116092254 |   114090973 |   156784732 |   115729514 |   106553520 |   161284117 |   162621476
    num misses                       |      842629 |       98099 |       75873 |       79027 |       76008 |       73501 |       67453 |       61683 |       65299 |       63283 |       67399 |       63415 |       70085 |       54113 |       65500 |       64288 |       65906 |       65033 |       63349 |       58950 |       57464 |       60161 |       64844 |       70900 |       85626 |       59328 |       74310 |       70625 |       91040 |       60234 |       66095 |       61882 |       80942 |       70070 |       63856 |       83577 |       63751 |       77243 |       80122 |       63127 |       58763 |       91190 |       66668 |       62801 |       88092 |       63620 |       78087 |       55457 |       60680 |       66795 |       92165 |       59823 |       63462 |       86297 |       50412 |       61542 |       80582 |       69787 |       57024 |       82488 |       65072 |       62243 |       81640 |       87538
    miss rate                        |       2.56% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.04% |       0.04% |       0.05% |       0.04% |       0.05% |       0.05% |       0.04% |       0.05% |       0.05% |       0.06% |       0.05% |       0.05% |       0.05% |       0.05% |       0.07% |       0.05% |       0.05% |       0.06% |       0.05% |       0.05% |       0.06% |       0.05% |       0.05% |       0.06% |       0.06% |       0.05% |       0.06% |       0.05% |       0.05% |       0.06% |       0.06% |       0.05% |       0.06% |       0.05% |       0.05% |       0.05% |       0.06% |       0.05% |       0.06% |       0.05% |       0.05% |       0.05% |       0.06% |       0.05% |       0.06% |       0.05% |       0.05% |       0.06% |       0.06% |       0.05% |       0.05%
    mpki                             |        9.85 |        0.12 |        0.12 |        0.14 |        0.14 |        0.14 |        0.14 |        0.13 |        0.12 |        0.13 |        0.13 |        0.13 |        0.14 |        0.11 |        0.11 |        0.13 |        0.11 |        0.13 |        0.12 |        0.11 |        0.12 |        0.13 |        0.15 |        0.13 |        0.14 |        0.13 |        0.14 |        0.17 |        0.14 |        0.14 |        0.16 |        0.14 |        0.13 |        0.17 |        0.14 |        0.14 |        0.15 |        0.15 |        0.13 |        0.15 |        0.13 |        0.14 |        0.15 |        0.15 |        0.14 |        0.15 |        0.14 |        0.13 |        0.14 |        0.16 |        0.13 |        0.14 |        0.14 |        0.13 |        0.12 |        0.15 |        0.13 |        0.16 |        0.13 |        0.14 |        0.15 |        0.15 |        0.13 |        0.14
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      843172 |       98215 |       75985 |       79145 |       76121 |       73618 |       67574 |       61791 |       65407 |       63400 |       67505 |       63529 |       70207 |       54224 |       65604 |       64393 |       66014 |       65144 |       63469 |       59050 |       57580 |       60279 |       64953 |       71009 |       85735 |       59433 |       74413 |       70737 |       91158 |       60339 |       66220 |       61982 |       81064 |       70195 |       63977 |       83697 |       63867 |       77359 |       80235 |       63241 |       58876 |       91313 |       66780 |       62911 |       88202 |       63736 |       78194 |       55558 |       60790 |       66903 |       92266 |       59939 |       63574 |       86411 |       50522 |       61654 |       80687 |       69900 |       57138 |       82604 |       65179 |       62353 |       81758 |       87654
    num misses                       |       26731 |       47896 |       29930 |       29272 |       27565 |       27387 |       26593 |       23132 |       28093 |       25396 |       26310 |       26236 |       26782 |       23709 |       27849 |       26667 |       28056 |       26112 |       26923 |       26366 |       24050 |       24406 |       23125 |       28825 |       30230 |       24635 |       28418 |       23775 |       34092 |       23202 |       22944 |       23781 |       32135 |       24172 |       25031 |       31573 |       23795 |       28305 |       33132 |       23228 |       24328 |       34182 |       25993 |       23351 |       33938 |       24632 |       28906 |       22451 |       23187 |       23872 |       35719 |       23488 |       23808 |       33884 |       21215 |       23523 |       32488 |       24502 |       22901 |       30795 |       23380 |       22970 |       31101 |       32335
    miss rate                        |       3.17% |      48.77% |      39.39% |      36.99% |      36.21% |      37.20% |      39.35% |      37.44% |      42.95% |      40.06% |      38.97% |      41.30% |      38.15% |      43.72% |      42.45% |      41.41% |      42.50% |      40.08% |      42.42% |      44.65% |      41.77% |      40.49% |      35.60% |      40.59% |      35.26% |      41.45% |      38.19% |      33.61% |      37.40% |      38.45% |      34.65% |      38.37% |      39.64% |      34.44% |      39.12% |      37.72% |      37.26% |      36.59% |      41.29% |      36.73% |      41.32% |      37.43% |      38.92% |      37.12% |      38.48% |      38.65% |      36.97% |      40.41% |      38.14% |      35.68% |      38.71% |      39.19% |      37.45% |      39.21% |      41.99% |      38.15% |      40.26% |      35.05% |      40.08% |      37.28% |      35.87% |      36.84% |      38.04% |      36.89%
    mpki                             |        0.31 |        0.06 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.06 |        0.05 |        0.05 |        0.06 |        0.06 |        0.05 |        0.06 |        0.06 |        0.05 |        0.06 |        0.05 |        0.05 |        0.06 |        0.05 |        0.05 |        0.06 |        0.05 |        0.05 |        0.06 |        0.05 |        0.05 |        0.05 |        0.06 |        0.05 |        0.06 |        0.05 |        0.05 |        0.05 |        0.06 |        0.05 |        0.06 |        0.05 |        0.05 |        0.05 |        0.06 |        0.05 |        0.05
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    11011846 |    98674876 |    74790167 |    70969350 |    65255395 |    66992140 |    60976862 |    56804996 |    67470604 |    62170621 |    62964736 |    62139591 |    61128545 |    59878852 |    70654475 |    63247617 |    71003032 |    61733247 |    64884505 |    65995213 |    57258076 |    58935004 |    53367845 |    66266459 |    73285165 |    56132718 |    64507529 |    50112587 |    82079879 |    53520454 |    50321279 |    52873967 |    75297161 |    52106969 |    55522016 |    72688869 |    53147251 |    65235986 |    78448491 |    50133176 |    55585396 |    80515908 |    56463220 |    52883354 |    79282593 |    53050909 |    67572885 |    50845149 |    52398339 |    51914655 |    85663119 |    50886944 |    55378713 |    81365017 |    49753800 |    51110652 |    79042633 |    54409168 |    53519226 |    73600953 |    54288169 |    49942749 |    75658438 |    76258763
    num cache misses                 |      203634 |      260017 |      180401 |      179138 |      158336 |      161749 |      148476 |      137835 |      162555 |      150500 |      153072 |      149926 |      147760 |      145711 |      170233 |      153488 |      173213 |      149940 |      155601 |      160130 |      140348 |      143493 |      133445 |      163318 |      175933 |      142411 |      159293 |      126716 |      194669 |      134644 |      125557 |      135143 |      183446 |      131784 |      141452 |      176636 |      133142 |      158946 |      190811 |      126077 |      142284 |      195476 |      139835 |      132540 |      190337 |      133837 |      165295 |      129244 |      130570 |      130509 |      204640 |      127943 |      137547 |      192215 |      124804 |      127072 |      191131 |      138902 |      133454 |      176574 |      135593 |      126347 |      183697 |      183617
    miss rate                        |       1.85% |       0.26% |       0.24% |       0.25% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.25% |       0.24% |       0.25% |       0.25% |       0.24% |       0.25% |       0.25% |       0.25% |       0.24% |       0.25% |       0.25% |       0.26% |       0.24% |       0.25% |       0.25% |       0.24% |       0.25% |       0.24% |       0.24% |       0.25% |       0.26% |       0.24% |       0.25% |       0.25% |       0.24% |       0.25% |       0.24% |       0.25% |       0.25% |       0.25% |       0.24% |       0.25% |       0.25% |       0.24% |       0.25% |       0.25% |       0.24% |       0.26% |       0.25% |       0.24% |       0.25% |       0.25% |       0.24% |       0.24%
    mpki                             |        2.38 |        0.32 |        0.30 |        0.31 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.31 |        0.30 |        0.30 |        0.31 |        0.30 |        0.31 |        0.29 |        0.31 |        0.31 |        0.31 |        0.30 |        0.31 |        0.31 |        0.30 |        0.31 |        0.30 |        0.30 |        0.31 |        0.32 |        0.30 |        0.30 |        0.31 |        0.30 |        0.31 |        0.30 |        0.31 |        0.31 |        0.31 |        0.29 |        0.31 |        0.31 |        0.29 |        0.31 |        0.31 |        0.30 |        0.31 |        0.31 |        0.30 |        0.31 |        0.31 |        0.30 |        0.30
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    32922456 |   211339622 |   159175149 |   151313435 |   139111987 |   142765464 |   130233505 |   121007483 |   143727159 |   132484798 |   134078085 |   132455227 |   130482636 |   127560432 |   150349569 |   134717681 |   151222178 |   131569970 |   138374044 |   140450301 |   122168904 |   125663562 |   113760902 |   141189946 |   156042822 |   119711393 |   137556758 |   106938903 |   174852005 |   114047627 |   107600122 |   112710427 |   160686139 |   111443033 |   118656210 |   155119902 |   113418230 |   139196788 |   167125405 |   107011171 |   118676381 |   171812065 |   120571288 |   112744674 |   168868597 |   113241571 |   144027635 |   108282598 |   111630995 |   110848970 |   182208691 |   108698286 |   118204945 |   173280322 |   106033399 |   109124261 |   168342677 |   116092254 |   114090973 |   156784732 |   115729514 |   106553520 |   161284117 |   162621476
    num cache misses                 |     1992294 |     3244217 |     2579366 |     2544011 |     2358355 |     2300979 |     2247810 |     2027947 |     2382638 |     2159165 |     2257765 |     2281020 |     2297441 |     2053824 |     2367509 |     2324318 |     2404691 |     2233615 |     2257391 |     2272538 |     2036908 |     2147670 |     1950148 |     2366943 |     2523674 |     2096572 |     2377266 |     2048678 |     2892431 |     2011250 |     1984506 |     2051256 |     2664888 |     2118841 |     2104191 |     2637532 |     2083616 |     2432483 |     2726890 |     2057842 |     2044831 |     2832537 |     2181836 |     2007578 |     2809981 |     2122853 |     2477761 |     1996650 |     2029981 |     2151797 |     2961004 |     2053801 |     2101262 |     2862405 |     1873604 |     2079287 |     2664324 |     2100806 |     2010880 |     2576484 |     2064063 |     2051360 |     2527264 |     2667858
    miss rate                        |       6.05% |       1.54% |       1.62% |       1.68% |       1.70% |       1.61% |       1.73% |       1.68% |       1.66% |       1.63% |       1.68% |       1.72% |       1.76% |       1.61% |       1.57% |       1.73% |       1.59% |       1.70% |       1.63% |       1.62% |       1.67% |       1.71% |       1.71% |       1.68% |       1.62% |       1.75% |       1.73% |       1.92% |       1.65% |       1.76% |       1.84% |       1.82% |       1.66% |       1.90% |       1.77% |       1.70% |       1.84% |       1.75% |       1.63% |       1.92% |       1.72% |       1.65% |       1.81% |       1.78% |       1.66% |       1.87% |       1.72% |       1.84% |       1.82% |       1.94% |       1.63% |       1.89% |       1.78% |       1.65% |       1.77% |       1.91% |       1.58% |       1.81% |       1.76% |       1.64% |       1.78% |       1.93% |       1.57% |       1.64%
    mpki                             |       23.29 |        4.05 |        4.25 |        4.41 |        4.45 |        4.23 |        4.53 |        4.39 |        4.34 |        4.28 |        4.41 |        4.52 |        4.62 |        4.22 |        4.13 |        4.52 |        4.17 |        4.45 |        4.28 |        4.24 |        4.38 |        4.48 |        4.50 |        4.40 |        4.24 |        4.60 |        4.53 |        5.03 |        4.34 |        4.62 |        4.85 |        4.77 |        4.35 |        5.00 |        4.66 |        4.46 |        4.82 |        4.59 |        4.28 |        5.05 |        4.53 |        4.33 |        4.75 |        4.67 |        4.36 |        4.92 |        4.51 |        4.83 |        4.77 |        5.10 |        4.26 |        4.96 |        4.67 |        4.33 |        4.63 |        5.00 |        4.15 |        4.75 |        4.62 |        4.31 |        4.68 |        5.05 |        4.11 |        4.31
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     2224799 |     3765359 |     2961413 |     2915270 |     2693136 |     2643669 |     2561277 |     2320441 |     2727993 |     2477958 |     2581902 |     2599527 |     2610215 |     2362092 |     2728690 |     2649469 |     2770399 |     2550766 |     2588538 |     2612055 |     2332476 |     2450920 |     2228994 |     2710189 |     2897390 |     2391721 |     2711453 |     2311331 |     3305553 |     2291760 |     2245184 |     2330367 |     3051020 |     2390881 |     2395742 |     3009823 |     2360327 |     2767325 |     3128698 |     2319851 |     2337455 |     3242712 |     2474204 |     2283137 |     3214692 |     2400136 |     2825807 |     2264301 |     2303150 |     2422651 |     3394803 |     2319566 |     2387971 |     3272625 |     2133949 |     2344476 |     3068940 |     2387393 |     2289185 |     2951431 |     2346700 |     2312906 |     2914674 |     3055987
