                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache misses                 |    8879923 |    8879928 |    8879901 |    8879891 |    8879954 |    8879922 |    8879946 |    8879927 |    1126784 |    1126993 |    1126795 |    1126989 |    1126826 |    1126994 |    1126790 |    1126980 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |      30242 |      30242 |      30242 |      30243 |      30242 |      30242 |      30243 |      30242
    miss rate                        |     18.07% |     18.07% |     18.07% |     18.07% |     18.07% |     18.07% |     18.07% |     18.07% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |      1.66% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |      88.71 |      88.71 |      88.71 |      88.71 |      88.71 |      88.71 |      88.71 |      88.71 |      11.26 |      11.26 |      11.26 |      11.26 |      11.26 |      11.26 |      11.26 |      11.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8958579 |    8958547 |    8958036 |    8958306 |    8958697 |    8958539 |    8958580 |    8958521 |    1148934 |    1149142 |    1148940 |    1149131 |    1148974 |    1149147 |    1148927 |    1149130 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |     348359 |     348361 |     348361 |     348360 |     348361 |     348361 |     348362 |     348359
    num cache misses                 |    6001858 |    6001804 |    6002399 |    6001565 |    6001963 |    6001829 |    6001830 |    6001796 |     611890 |     611977 |     611884 |     611954 |     611886 |     611969 |     611915 |     612075 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |      14018 |      14020 |      14023 |      14019 |      14019 |      14018 |      14027 |      14018
    miss rate                        |     67.00% |     67.00% |     67.01% |     66.99% |     67.00% |     67.00% |     67.00% |     67.00% |     53.26% |     53.26% |     53.26% |     53.25% |     53.25% |     53.25% |     53.26% |     53.26% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      4.02% |      4.02% |      4.03% |      4.02% |      4.02% |      4.02% |      4.03% |      4.02%
    mpki                             |      59.96 |      59.96 |      59.96 |      59.95 |      59.96 |      59.96 |      59.96 |      59.96 |       6.11 |       6.11 |       6.11 |       6.11 |       6.11 |       6.11 |       6.11 |       6.11 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6001956 |    6001913 |    6002494 |    6001666 |    6002064 |    6001930 |    6001954 |    6001908 |     616733 |     616819 |     616726 |     616795 |     616727 |     616809 |     616757 |     616917 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |      14090 |      14092 |      14095 |      14091 |      14091 |      14090 |      14099 |      14090
