                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache misses                 |    6001690 |    6000649 |    6001637 |    6001807 |    6001738 |    6001718 |    6001959 |    6001777 |    6000149 |    6001542 |    6001914 |    6001726 |    6001776 |    6001908 |    6001859 |    6001842 |      29983 |      29970 |      29969 |      29978 |      29971 |      29985 |      29983 |      29970 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522
    miss rate                        |     67.00% |     66.99% |     66.99% |     67.00% |     67.00% |     67.00% |     67.00% |     67.00% |     66.99% |     66.99% |     67.00% |     67.00% |     67.00% |     67.00% |     67.00% |     67.00% |      5.37% |      5.36% |      5.36% |      5.37% |      5.36% |      5.37% |      5.37% |      5.36% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |      59.96 |      59.95 |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |      59.94 |      59.95 |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |      59.96 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6001774 |    6000742 |    6001738 |    6001924 |    6001823 |    6001812 |    6002064 |    6001874 |    6000258 |    6001642 |    6002018 |    6001830 |    6001873 |    6002021 |    6001972 |    6001954 |      33004 |      32990 |      32988 |      32999 |      32991 |      33006 |      33004 |      32990 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634
    num cache misses                 |    5370139 |    5370134 |    5370204 |    5370199 |    5370187 |    5370205 |    5371675 |    5370120 |    5370132 |    5370125 |    5370201 |    5370206 |    5370189 |    5370205 |    5370224 |    5370185 |      27681 |      27673 |      27672 |      27679 |      27673 |      27682 |      27681 |      27673 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522
    miss rate                        |     89.48% |     89.49% |     89.48% |     89.47% |     89.48% |     89.48% |     89.50% |     89.47% |     89.50% |     89.48% |     89.47% |     89.48% |     89.48% |     89.47% |     89.47% |     89.47% |     83.87% |     83.88% |     83.89% |     83.88% |     83.88% |     83.87% |     83.87% |     83.88% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33%
    mpki                             |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.66 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   18783521 |          0 |   18783828 |          0 |   18783724 |          0 |   18786678 |          0 |   18783560 |          0 |   18783751 |          0 |   18783738 |          0 |   18783763 |          0 |      59852 |          0 |      59850 |          0 |      59854 |          0 |      59852 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0
  average dram access latency (ns)   |     100.84 |        inf |     101.60 |        inf |     101.54 |        inf |     100.37 |        inf |     100.75 |        inf |     101.21 |        inf |     101.32 |        inf |     101.15 |        inf |      32.06 |        inf |      32.07 |        inf |      32.06 |        inf |      32.06 |        inf |      37.86 |        inf |      37.74 |        inf |      38.03 |        inf |      38.23 |        inf
  average dram queueing delay        |      68.97 |       0.00 |      69.74 |       0.00 |      69.68 |       0.00 |      68.51 |       0.00 |      68.89 |       0.00 |      69.34 |       0.00 |      69.46 |       0.00 |      69.29 |       0.00 |       0.20 |       0.00 |       0.21 |       0.00 |       0.20 |       0.00 |       0.20 |       0.00 |       6.00 |       0.00 |       5.88 |       0.00 |       6.17 |       0.00 |       6.37 |       0.00
  average dram bandwidth utilization |     46.00% |      0.00% |     46.00% |      0.00% |     46.00% |      0.00% |     46.00% |      0.00% |     46.00% |      0.00% |     46.00% |      0.00% |     46.00% |      0.00% |     46.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1344848 |    1344766 |    1344901 |    1344939 |    1344900 |    1344918 |    1344783 |    1344843 |    1344728 |    1344816 |    1344934 |    1344907 |    1344927 |    1344897 |    1344920 |    1344925 |      27334 |      27327 |      27326 |      27332 |      27327 |      27335 |      27334 |      27327 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
