                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8830090 |    8684760 |    8666068 |    8655250 |    8678433 |    8691111 |    8678090 |    8664336 |    8693103 |    8682560 |    8671724 |    8684569 |    8674727 |    8664506 |    8697376 |    8658298 |    8645974 |    8712784 |    8676860 |    8664452 |    8683070 |    8670502 |    8666496 |    8678043 |    8662746 |    8678600 |    8686477 |    8674583 |    8679196 |    8664608 |    8697253 |    8814272
    num cache misses                 |      57538 |      57255 |      56571 |      56485 |      56541 |      56733 |      56684 |      56628 |      57026 |      56850 |      56645 |      56711 |      56353 |      56589 |      57050 |      57013 |      56948 |      57003 |      56862 |      56712 |      56512 |      56523 |      56658 |      56713 |      56777 |      56733 |      56773 |      56738 |      56458 |      56499 |      57254 |      57511
    miss rate                        |      0.65% |      0.66% |      0.65% |      0.65% |      0.65% |      0.65% |      0.65% |      0.65% |      0.66% |      0.65% |      0.65% |      0.65% |      0.65% |      0.65% |      0.66% |      0.66% |      0.66% |      0.65% |      0.66% |      0.65% |      0.65% |      0.65% |      0.65% |      0.65% |      0.66% |      0.65% |      0.65% |      0.65% |      0.65% |      0.65% |      0.66% |      0.65%
    mpki                             |       0.57 |       0.58 |       0.58 |       0.58 |       0.57 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.57 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.57 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.57 |       0.58 |       0.58 |       0.58
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   46987858 |   46229159 |   46130879 |   46073743 |   46195637 |   46262623 |   46193888 |   46121642 |   46273248 |   46217444 |   46160546 |   46228186 |   46176318 |   46122512 |   46295606 |   46089821 |   46024379 |   46376864 |   46187444 |   46122239 |   46220054 |   46154201 |   46133073 |   46193595 |   46113281 |   46196498 |   46238191 |   46175425 |   46199719 |   46123034 |   46294868 |   46906205
    num cache misses                 |    7249829 |    7154699 |    7141142 |    7132945 |    7149584 |    7159182 |    7149490 |    7139715 |    7160984 |    7152744 |    7145102 |    7154447 |    7147115 |    7139701 |    7163892 |    7135390 |    7125492 |    7175252 |    7148590 |    7139731 |    7152938 |    7144327 |    7141347 |    7149369 |    7138588 |    7149689 |    7155765 |    7146908 |    7150185 |    7139737 |    7163655 |    7240935
    miss rate                        |     15.43% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.47% |     15.48% |     15.48% |     15.47% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.48% |     15.47% |     15.44%
    mpki                             |      72.42 |      72.70 |      72.73 |      72.73 |      72.71 |      72.70 |      72.71 |      72.73 |      72.70 |      72.70 |      72.72 |      72.70 |      72.71 |      72.72 |      72.69 |      72.73 |      72.74 |      72.68 |      72.71 |      72.72 |      72.70 |      72.72 |      72.72 |      72.71 |      72.73 |      72.71 |      72.70 |      72.71 |      72.71 |      72.72 |      72.69 |      72.47
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    7309407 |    7214121 |    7199810 |    7191522 |    7208248 |    7218074 |    7208340 |    7198533 |    7220068 |    7211732 |    7203878 |    7213272 |    7205561 |    7198321 |    7222987 |    7194540 |    7184578 |    7234305 |    7207546 |    7198540 |    7211607 |    7202922 |    7200146 |    7208207 |    7197540 |    7208539 |    7214617 |    7205694 |    7208720 |    7198383 |    7223050 |    7300543
    num cache misses                 |    5729209 |    5670703 |    5671390 |    5667365 |    5673721 |    5680584 |    5670665 |    5664541 |    5681070 |    5676219 |    5671020 |    5679235 |    5677360 |    5674594 |    5665278 |    5647711 |    5636950 |    5667513 |    5677159 |    5671029 |    5676321 |    5668199 |    5669214 |    5672488 |    5662515 |    5670502 |    5679256 |    5669973 |    5679308 |    5670398 |    5676069 |    5721020
    miss rate                        |     78.38% |     78.61% |     78.77% |     78.81% |     78.71% |     78.70% |     78.67% |     78.69% |     78.68% |     78.71% |     78.72% |     78.73% |     78.79% |     78.83% |     78.43% |     78.50% |     78.46% |     78.34% |     78.77% |     78.78% |     78.71% |     78.69% |     78.74% |     78.69% |     78.67% |     78.66% |     78.72% |     78.69% |     78.78% |     78.77% |     78.58% |     78.36%
    mpki                             |      57.23 |      57.62 |      57.76 |      57.79 |      57.70 |      57.68 |      57.67 |      57.70 |      57.67 |      57.69 |      57.72 |      57.71 |      57.76 |      57.80 |      57.48 |      57.57 |      57.54 |      57.40 |      57.74 |      57.76 |      57.69 |      57.70 |      57.73 |      57.69 |      57.69 |      57.66 |      57.70 |      57.69 |      57.75 |      57.76 |      57.59 |      57.26
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5731254 |    5672871 |    5673490 |    5669459 |    5675848 |    5682748 |    5672837 |    5666732 |    5683132 |    5678363 |    5673158 |    5681355 |    5679457 |    5676630 |    5667327 |    5649849 |    5639092 |    5669567 |    5679254 |    5673128 |    5678486 |    5670277 |    5671355 |    5674616 |    5664693 |    5672627 |    5681339 |    5672024 |    5681390 |    5672548 |    5678212 |    5723124
    num cache misses                 |    5696558 |    5642862 |    5647854 |    5645406 |    5649008 |    5656844 |    5644671 |    5639509 |    5654414 |    5648785 |    5645281 |    5652887 |    5652826 |    5654014 |    5634695 |    5613763 |    5606536 |    5634007 |    5650031 |    5647835 |    5652251 |    5645566 |    5643632 |    5645602 |    5635540 |    5642835 |    5653182 |    5642947 |    5655706 |    5648625 |    5646470 |    5688216
    miss rate                        |     99.39% |     99.47% |     99.55% |     99.58% |     99.53% |     99.54% |     99.50% |     99.52% |     99.49% |     99.48% |     99.51% |     99.50% |     99.53% |     99.60% |     99.42% |     99.36% |     99.42% |     99.37% |     99.49% |     99.55% |     99.54% |     99.56% |     99.51% |     99.49% |     99.49% |     99.47% |     99.50% |     99.49% |     99.55% |     99.58% |     99.44% |     99.39%
    mpki                             |      56.91 |      57.34 |      57.52 |      57.57 |      57.45 |      57.44 |      57.40 |      57.44 |      57.40 |      57.42 |      57.45 |      57.44 |      57.51 |      57.59 |      57.17 |      57.22 |      57.23 |      57.06 |      57.47 |      57.53 |      57.45 |      57.46 |      57.47 |      57.41 |      57.41 |      57.38 |      57.43 |      57.41 |      57.51 |      57.54 |      57.29 |      56.93
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   20338100 |          0 |   20291855 |          0 |   20339198 |          0 |   20331138 |          0 |   20341981 |          0 |   20344476 |          0 |   20319226 |          0 |   20313573 |          0 |   20321512 |          0 |   20325649 |          0 |   20338426 |          0 |   20332502 |          0 |   20357705 |          0 |   20348424 |          0 |   20301286 |          0 |   20335298 |          0
  average dram access latency (ns)   |     360.35 |        inf |     360.20 |        inf |     361.92 |        inf |     361.68 |        inf |     359.52 |        inf |     359.57 |        inf |     359.92 |        inf |     360.02 |        inf |     360.56 |        inf |     360.00 |        inf |     360.00 |        inf |     360.45 |        inf |     360.47 |        inf |     363.14 |        inf |     360.46 |        inf |     360.70 |        inf
  average dram queueing delay        |     322.92 |       0.00 |     322.77 |       0.00 |     324.49 |       0.00 |     324.26 |       0.00 |     322.09 |       0.00 |     322.14 |       0.00 |     322.49 |       0.00 |     322.59 |       0.00 |     323.13 |       0.00 |     322.57 |       0.00 |     322.57 |       0.00 |     323.02 |       0.00 |     323.04 |       0.00 |     325.71 |       0.00 |     323.04 |       0.00 |     323.27 |       0.00
  average dram bandwidth utilization |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00% |     88.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1103250 |    1088957 |    1086845 |    1085542 |    1088103 |    1089649 |    1088134 |    1086677 |    1089824 |    1088555 |    1087425 |    1088869 |    1087798 |    1086589 |    1090195 |    1085998 |    1084445 |    1091846 |    1088011 |    1086675 |    1088687 |    1087330 |    1086881 |    1088077 |    1086469 |    1088072 |    1088975 |    1087619 |    1088200 |    1086712 |    1090322 |    1101909
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
