                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache accesses               |    9397500 |    9331655 |    9337601 |    9339877 |    9336825 |    9339526 |    9336415 |    9334575 |    9334608 |    9338693 |    9339110 |    9338559 |    9339032 |    9339990 |    9343840 |    9341928 |    9344268 |    9343416 |    9335263 |    9337918 |    9338331 |    9337774 |    9336352 |    9334648 |    9335310 |    9336292 |    9336050 |    9331900 |    9337763 |    9339164 |    9329021 |    9397822
    num cache misses                 |      80083 |      79757 |      79746 |      79780 |      79767 |      79765 |      79782 |      79766 |      79771 |      79817 |      79764 |      79745 |      79744 |      79766 |      79796 |      79780 |      79793 |      79755 |      79786 |      79832 |      79759 |      79770 |      79761 |      79757 |      79751 |      79819 |      79839 |      79782 |      79792 |      79802 |      79754 |      80078
    miss rate                        |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85% |      0.86% |      0.85% |      0.85% |      0.85% |      0.85% |      0.85%
    mpki                             |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80 |       0.80
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   53173775 |   52811140 |   52842852 |   52854998 |   52838713 |   52853126 |   52836528 |   52826703 |   52826878 |   52848679 |   52850916 |   52847965 |   52850500 |   52855603 |   52876159 |   52865972 |   52878522 |   52873902 |   52830372 |   52844547 |   52846748 |   52843776 |   52836185 |   52827097 |   52830629 |   52835866 |   52834580 |   52812432 |   52843717 |   52851198 |   52797104 |   53175136
    num cache misses                 |      30511 |      30229 |      30152 |      30151 |      30159 |      30133 |      30156 |      30170 |      30133 |      30165 |      30152 |      30162 |      30165 |      30132 |      30187 |      30164 |      30174 |      30175 |      30161 |      30182 |      30153 |      30160 |      30148 |      30152 |      30155 |      30191 |      30185 |      30160 |      30174 |      30161 |      30241 |      30501
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.31 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.31
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     110800 |     110182 |     110089 |     110124 |     110115 |     110093 |     110131 |     110129 |     110094 |     110185 |     110104 |     110100 |     110092 |     110075 |     110178 |     110141 |     110155 |     110118 |     110141 |     110207 |     110097 |     110121 |     110102 |     110104 |     110087 |     110201 |     110218 |     110141 |     110157 |     110141 |     110190 |     110776
    num cache misses                 |      18011 |      17825 |      16957 |      17023 |      17074 |      17114 |      17169 |      17096 |      17208 |      17293 |      17038 |      17002 |      16928 |      16956 |      17258 |      17211 |      17073 |      17039 |      17220 |      17311 |      17076 |      17054 |      17172 |      17153 |      17134 |      17206 |      17347 |      17250 |      17013 |      17049 |      17808 |      18062
    miss rate                        |     16.26% |     16.18% |     15.40% |     15.46% |     15.51% |     15.55% |     15.59% |     15.52% |     15.63% |     15.69% |     15.47% |     15.44% |     15.38% |     15.40% |     15.66% |     15.63% |     15.50% |     15.47% |     15.63% |     15.71% |     15.51% |     15.49% |     15.60% |     15.58% |     15.56% |     15.61% |     15.74% |     15.66% |     15.44% |     15.48% |     16.16% |     16.30%
    mpki                             |       0.18 |       0.18 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.18 |       0.18
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18228 |      18030 |      17151 |      17220 |      17266 |      17313 |      17367 |      17293 |      17403 |      17501 |      17231 |      17199 |      17114 |      17137 |      17456 |      17413 |      17266 |      17231 |      17418 |      17509 |      17266 |      17249 |      17371 |      17352 |      17321 |      17400 |      17546 |      17455 |      17209 |      17231 |      18013 |      18269
    num cache misses                 |      17231 |      17108 |      16811 |      16713 |      16840 |      16824 |      16800 |      16873 |      16943 |      16816 |      16763 |      16789 |      16754 |      16733 |      16833 |      16875 |      16763 |      16835 |      16974 |      16802 |      16815 |      16827 |      16865 |      16871 |      16849 |      16779 |      16865 |      16996 |      16802 |      16769 |      17149 |      17212
    miss rate                        |     94.53% |     94.89% |     98.02% |     97.06% |     97.53% |     97.18% |     96.74% |     97.57% |     97.36% |     96.09% |     97.28% |     97.62% |     97.90% |     97.64% |     96.43% |     96.91% |     97.09% |     97.70% |     97.45% |     95.96% |     97.39% |     97.55% |     97.09% |     97.23% |     97.27% |     96.43% |     96.12% |     97.37% |     97.63% |     97.32% |     95.20% |     94.21%
    mpki                             |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      37519 |          0 |      37436 |          0 |      37300 |          0 |      36984 |          0 |      37151 |          0 |      37143 |          0 |      37163 |          0 |      37232 |          0 |      37293 |          0 |      37044 |          0 |      37110 |          0 |      37297 |          0 |      37045 |          0 |      36982 |          0 |      37483 |          0 |      37628 |          0
  average dram access latency (ns)   |      43.84 |        inf |      44.20 |        inf |      44.60 |        inf |      44.62 |        inf |      44.55 |        inf |      44.40 |        inf |      44.83 |        inf |      45.07 |        inf |      44.79 |        inf |      44.60 |        inf |      44.73 |        inf |      44.89 |        inf |      44.76 |        inf |      44.56 |        inf |      44.31 |        inf |      43.86 |        inf
  average dram queueing delay        |       6.41 |       0.00 |       6.78 |       0.00 |       7.17 |       0.00 |       7.19 |       0.00 |       7.12 |       0.00 |       6.97 |       0.00 |       7.40 |       0.00 |       7.64 |       0.00 |       7.36 |       0.00 |       7.18 |       0.00 |       7.30 |       0.00 |       7.46 |       0.00 |       7.33 |       0.00 |       7.13 |       0.00 |       6.88 |       0.00 |       6.43 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       6427 |       6362 |       6250 |       6224 |       6268 |       6265 |       6269 |       6282 |       6311 |       6301 |       6230 |       6256 |       6241 |       6227 |       6269 |       6283 |       6256 |       6279 |       6306 |       6266 |       6249 |       6263 |       6271 |       6279 |       6271 |       6256 |       6282 |       6328 |       6271 |       6245 |       6368 |       6396
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
