                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  mpki                               |       0.05 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       0.78 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17 |       7.17
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    6041125 |    6039966 |    5846374 |    5848536 |    5882540 |    5879331 |    5880515 |    5881711 |    5885588 |    5885081 |    5884406 |    5884860 |    5888831 |    5889694 |    5889588 |    5889277 |    5892350 |    5892168 |    5892152 |    5892741 |    5885165 |    5884898 |    5886501 |    5883549 |    5884955 |    5884188 |    5886310 |    5885303 |    5888037 |    5888654 |    5888010 |    5888476 |    9395860 |    9396507 |    9396852 |    9396805 |    9395108 |    9394156 |    9395366 |    9393707 |    9396452 |    9397822 |    9396793 |    9396205 |    9394138 |    9394674 |    9395416 |    9394651 |    5509254 |    5509154 |    5509485 |    5509450 |    5509507 |    5509423 |    5509450 |    5509395 |    5509517 |    5509457 |    5509468 |    5509421 |    5509562 |    5509408 |    5510090 |    5510145
    num misses                       |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |         14 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |        200 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   23573163 |   23568618 |   22812808 |   22821268 |   22954002 |   22941490 |   22946109 |   22950753 |   22965924 |   22963939 |   22961288 |   22963048 |   22978579 |   22981926 |   22981535 |   22980307 |   22992328 |   22991583 |   22991548 |   22993844 |   22964267 |   22963206 |   22969461 |   22957945 |   22963438 |   22960424 |   22968736 |   22964801 |   22975476 |   22977896 |   22975347 |   22977171 |   53164737 |   53168360 |   53169982 |   53169662 |   53160195 |   53154556 |   53161726 |   53151880 |   53168129 |   53175136 |   53169569 |   53166738 |   53154403 |   53157608 |   53161989 |   53157463 |   24083461 |   24083033 |   24084458 |   24084333 |   24084542 |   24084213 |   24084331 |   24084088 |   24084588 |   24084362 |   24084410 |   24084202 |   24084717 |   24084157 |   24086613 |   24086833
    num misses                       |      19891 |      19891 |      18746 |      18748 |      18777 |      18774 |      18776 |      18777 |      18778 |      18778 |      18777 |      18778 |      18778 |      18780 |      18779 |      18778 |      18782 |      18782 |      18782 |      18783 |      18778 |      18778 |      18778 |      18777 |      18778 |      18777 |      18778 |      18778 |      18778 |      18778 |      18778 |      18778 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |       9754 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8 |          8
    miss rate                        |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.40 |       0.40 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      19905 |      19905 |      18760 |      18762 |      18791 |      18788 |      18790 |      18791 |      18792 |      18792 |      18791 |      18792 |      18792 |      18794 |      18793 |      18792 |      18796 |      18796 |      18796 |      18797 |      18792 |      18792 |      18792 |      18791 |      18792 |      18791 |      18792 |      18792 |      18792 |      18792 |      18792 |      18792 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |       9954 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    num misses                       |        461 |        461 |        451 |        451 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        453 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |        452 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |       1199 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      2.32% |      2.32% |      2.40% |      2.40% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.40% |      2.40% |      2.40% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |      2.41% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |     12.05% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6041125 |    6039966 |    5846374 |    5848536 |    5882540 |    5879331 |    5880515 |    5881711 |    5885588 |    5885081 |    5884406 |    5884860 |    5888831 |    5889694 |    5889588 |    5889277 |    5892350 |    5892168 |    5892152 |    5892741 |    5885165 |    5884898 |    5886501 |    5883549 |    5884955 |    5884188 |    5886310 |    5885303 |    5888037 |    5888654 |    5888010 |    5888476 |    9395860 |    9396507 |    9396852 |    9396805 |    9395108 |    9394156 |    9395366 |    9393707 |    9396452 |    9397822 |    9396793 |    9396205 |    9394138 |    9394674 |    9395416 |    9394651 |    5509254 |    5509154 |    5509485 |    5509450 |    5509507 |    5509423 |    5509450 |    5509395 |    5509517 |    5509457 |    5509468 |    5509421 |    5509562 |    5509408 |    5510090 |    5510145
    num cache misses                 |       3475 |       3471 |       3460 |       3461 |       3345 |       3340 |       3345 |       3352 |       3346 |       3337 |       3336 |       3341 |       3334 |       3340 |       3340 |       3336 |       3334 |       3336 |       3335 |       3338 |       3346 |       3341 |       3350 |       3344 |       3345 |       3332 |       3345 |       3338 |       3327 |       3337 |       3329 |       3330 |     317949 |     318060 |     318087 |     318088 |     317934 |     317865 |     317934 |     317867 |     318060 |     318136 |     318076 |     317984 |     317880 |     317919 |     317942 |     317913 |    1885069 |    1885037 |    1885188 |    1885171 |    1885202 |    1885154 |    1885171 |    1885127 |    1885212 |    1885171 |    1885181 |    1885152 |    1885234 |    1885139 |    1885379 |    1885392
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      3.38% |      3.38% |      3.39% |      3.39% |      3.38% |      3.38% |      3.38% |      3.38% |      3.38% |      3.39% |      3.38% |      3.38% |      3.38% |      3.38% |      3.38% |      3.38% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22% |     34.22%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |       3.18 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83 |      48.83
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   23573163 |   23568618 |   22812808 |   22821268 |   22954002 |   22941490 |   22946109 |   22950753 |   22965924 |   22963939 |   22961288 |   22963048 |   22978579 |   22981926 |   22981535 |   22980307 |   22992328 |   22991583 |   22991548 |   22993844 |   22964267 |   22963206 |   22969461 |   22957945 |   22963438 |   22960424 |   22968736 |   22964801 |   22975476 |   22977896 |   22975347 |   22977171 |   53164737 |   53168360 |   53169982 |   53169662 |   53160195 |   53154556 |   53161726 |   53151880 |   53168129 |   53175136 |   53169569 |   53166738 |   53154403 |   53157608 |   53161989 |   53157463 |   24083461 |   24083033 |   24084458 |   24084333 |   24084542 |   24084213 |   24084331 |   24084088 |   24084588 |   24084362 |   24084410 |   24084202 |   24084717 |   24084157 |   24086613 |   24086833
    num cache misses                 |     282787 |     282828 |     274253 |     274282 |     275172 |     274913 |     274968 |     275121 |     275188 |     275026 |     274983 |     275052 |     275018 |     275207 |     275107 |     275045 |     275276 |     275229 |     275216 |     275306 |     275087 |     275091 |     275319 |     275060 |     275059 |     275044 |     275239 |     275104 |     275097 |     275233 |     275151 |     275134 |      35462 |      35475 |      35472 |      35475 |      35489 |      35476 |      35479 |      35459 |      35444 |      35478 |      35476 |      35457 |      35431 |      35502 |      35474 |      35478 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202 |        202
    miss rate                        |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      1.20% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       5.67 |       5.67 |       5.68 |       5.68 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.65 |       5.66 |       5.66 |       5.65 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.36 |       0.35 |       0.35 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     314122 |     314111 |     304857 |     304920 |     305473 |     305137 |     305196 |     305438 |     305451 |     305258 |     305149 |     305278 |     305220 |     305490 |     305330 |     305252 |     305510 |     305414 |     305443 |     305541 |     305394 |     305351 |     305643 |     305308 |     305315 |     305276 |     305537 |     305313 |     305291 |     305499 |     305372 |     305352 |     354658 |     354798 |     354815 |     354785 |     354694 |     354586 |     354675 |     354547 |     354754 |     354863 |     354824 |     354682 |     354569 |     354665 |     354664 |     354659 |    1885383 |    1885351 |    1885502 |    1885485 |    1885516 |    1885468 |    1885485 |    1885441 |    1885526 |    1885485 |    1885495 |    1885466 |    1885548 |    1885453 |    1885693 |    1885706
    num cache misses                 |     100927 |     100668 |      98159 |      98381 |      97080 |      96582 |      96781 |      97035 |      96920 |      96604 |      96404 |      96751 |      96370 |      96754 |      96643 |      96403 |      96655 |      96441 |      96377 |      96738 |      96960 |      96782 |      97166 |      96652 |      96895 |      96581 |      97125 |      96766 |      96439 |      96927 |      96715 |      96623 |      71280 |      71298 |      71304 |      71243 |      71332 |      71273 |      71333 |      71298 |      71292 |      71340 |      71335 |      71249 |      71291 |      71272 |      71295 |      71279 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522
