                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
    mpki                             |       2.53 |      17.27 |       0.49 |       2.92 |       2.46 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.22 |       1.19 |       1.19 |       1.17 |       1.19 |       1.19 |       1.22 |       1.19 |       1.20 |       1.23 |       1.22 |       1.22 |       1.23 |       1.23 |       1.21 |       1.25 |       1.24 |       1.23 |       1.22 |       1.20 |       1.23 |       1.21 |       1.22 |       1.23 |       1.18 |       1.21 |       1.26 |       1.25 |       1.23 |       1.23 |       1.23 |       1.21 |       0.12 |      15.62 |      15.61 |      15.61 |      15.81 |      15.61 |      15.81 |      18.54 |      15.85 |      18.73 |      18.90 |      20.50 |      15.61
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     548306 |     609812 |     101617 |     608341 |     513311 |        107 |         69 |         69 |         73 |         69 |         69 |         69 |         69 |       2572 |         69 |         69 |         69 |         70 |         70 |     133512 |     119118 |     118295 |     118181 |     117445 |     118313 |     119839 |     122236 |     121633 |     119994 |     119527 |     120186 |     120858 |     121476 |     119581 |     120775 |     121639 |     120883 |     120830 |     121636 |     120329 |     118736 |     119693 |     118742 |     119265 |     123015 |     161427 |     121018 |     122326 |     122236 |     123025 |     121032 |       4651 |     512076 |     512064 |     512040 |     518440 |     512040 |     518440 |     608138 |     519639 |     614439 |     619941 |     672141 |     512042
    num misses                       |       7651 |        590 |        624 |        349 |       1317 |        101 |         68 |         68 |         69 |         68 |         68 |         68 |         68 |         69 |         68 |         68 |         68 |         69 |         69 |       5845 |       4972 |       4920 |       5827 |       5836 |       4843 |       4929 |       5091 |       5202 |       4804 |       4920 |       5657 |       5705 |       5049 |       5078 |       5141 |       5468 |       4861 |       5033 |       5567 |       5267 |       4879 |       5045 |       5298 |       4784 |       5222 |       6487 |       5088 |       5167 |       5728 |       5402 |       5496 |       1527 |         82 |         74 |         50 |         50 |         50 |         50 |        149 |       1249 |         50 |       1951 |       8150 |         50
    miss rate                        |      1.40% |      0.10% |      0.61% |      0.06% |      0.26% |     94.39% |     98.55% |     98.55% |     94.52% |     98.55% |     98.55% |     98.55% |     98.55% |      2.68% |     98.55% |     98.55% |     98.55% |     98.57% |     98.57% |      4.38% |      4.17% |      4.16% |      4.93% |      4.97% |      4.09% |      4.11% |      4.16% |      4.28% |      4.00% |      4.12% |      4.71% |      4.72% |      4.16% |      4.25% |      4.26% |      4.50% |      4.02% |      4.17% |      4.58% |      4.38% |      4.11% |      4.21% |      4.46% |      4.01% |      4.25% |      4.02% |      4.20% |      4.22% |      4.69% |      4.39% |      4.54% |     32.83% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.24% |      0.01% |      0.31% |      1.21% |      0.01%
    mpki                             |       0.04 |       0.02 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.06 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.04 |       0.00 |       0.06 |       0.25 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   25777841 |    4040718 |   31462278 |   32072614 |   32074259 |   28255153 |   28254893 |   28254898 |   28254893 |   28254898 |   28254893 |   28254898 |   28254891 |   28254896 |   28254891 |   28254900 |   28254896 |   28254891 |   28254896 |   12034172 |   11000319 |   10883973 |   11021311 |   10772484 |   10893609 |   10786255 |   11224938 |   11082253 |   10742326 |   10780002 |   10820391 |   10806839 |   10862850 |   10780159 |   10650906 |   10799536 |   10831328 |   10892532 |   11104550 |   10758819 |   10748209 |   10813920 |   10639851 |   11008443 |   11149803 |   14117767 |   10664638 |   10893181 |   10925895 |   10955313 |   10958983 |    5540568 |    3817577 |    3818627 |    3818257 |    3818057 |    3818657 |    3817557 |    3819357 |    3816957 |    3819357 |    3817557 |    3818557 |    3818257
    num cache misses                 |     257099 |      34206 |   16889695 |     415943 |     415606 |     415637 |     415523 |     415527 |     415523 |     415527 |     415523 |     415527 |     415522 |     415526 |     415522 |     415528 |     415568 |     415572 |     415572 |     383187 |     346465 |     346033 |     344483 |     342233 |     346506 |     346501 |     354352 |     352347 |     347526 |     346469 |     346509 |     346304 |     350486 |     342104 |     348198 |     350215 |     348434 |     344475 |     350271 |     344178 |     342258 |     342459 |     342344 |     344510 |     352440 |     462297 |     348394 |     352173 |     352587 |     350945 |     348682 |      30308 |        211 |        118 |         77 |         77 |         77 |         77 |         77 |         77 |         77 |         77 |         77 |         77
