                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
    miss rate                        |       0.07% |       0.65% |       0.05% |       0.61% |       0.69% |       0.62% |       0.65% |       0.63% |       0.61% |       0.60% |       0.60% |       0.59% |       0.61% |       0.63% |       0.61% |       0.61% |       0.58% |       0.61% |       0.03% |       0.03% |       0.03% |       0.03% |       0.03% |       0.04% |       0.04% |       0.04% |       0.04% |       0.03% |       0.03% |       0.03% |       0.03% |       0.03% |       0.03% |       0.46% |       0.41% |       0.44% |       0.44% |       0.40% |       0.40% |       0.45% |       0.55% |       0.53% |       0.55% |       0.56% |       0.50% |       0.53% |       0.54% |       0.44% |       0.61% |       0.45% |       0.54% |       0.55% |       0.53% |       0.58% |       0.61% |       0.51% |       0.60% |       0.42% |       0.47% |       0.53% |       0.55% |       0.54% |       0.56% |       0.59%
    mpki                             |        0.27 |        3.23 |        0.18 |        3.09 |        3.54 |        3.13 |        3.29 |        3.22 |        3.11 |        3.05 |        3.05 |        2.99 |        3.11 |        3.18 |        3.12 |        3.12 |        2.91 |        3.08 |        0.11 |        0.12 |        0.09 |        0.11 |        0.09 |        0.14 |        0.12 |        0.12 |        0.13 |        0.10 |        0.09 |        0.11 |        0.10 |        0.10 |        0.11 |        1.82 |        1.64 |        1.79 |        1.79 |        1.61 |        1.62 |        1.79 |        2.20 |        2.10 |        2.18 |        2.19 |        1.99 |        2.08 |        2.14 |        1.77 |        2.42 |        1.80 |        2.14 |        2.17 |        2.10 |        2.25 |        2.39 |        1.97 |        2.36 |        1.70 |        1.88 |        2.09 |        2.17 |        2.11 |        2.20 |        2.31
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      239957 |      392389 |       47856 |      363455 |      397034 |      377950 |      404547 |      394043 |      375638 |      337964 |      334551 |      342479 |      375093 |      387401 |      382592 |      377316 |      335360 |      353102 |        7748 |        8248 |        8244 |        6835 |        6209 |        8267 |        8983 |        7731 |        8561 |        8097 |        7295 |        8879 |        8154 |        7274 |        8126 |       30722 |       30404 |       30547 |       30202 |       29688 |       32355 |       33783 |       33082 |       33622 |       36394 |       34661 |       28963 |       31029 |       33842 |       30180 |       39985 |       32256 |       39069 |       40011 |       36353 |       33435 |       36354 |       29696 |       39311 |       27952 |       31789 |       34606 |       38363 |       36633 |       40850 |       40206
    num misses                       |      107640 |       50729 |       17925 |       31209 |       48617 |       33196 |       35478 |       34815 |       30516 |       32397 |       37458 |       34661 |       36720 |       35589 |       34643 |       36037 |       31315 |       35876 |        2598 |        2842 |        2905 |        2682 |        2497 |        2455 |        2927 |        2783 |        2839 |        2689 |        2478 |        3054 |        2868 |        2522 |        2989 |        5770 |        5344 |        6280 |        5503 |        5245 |        3865 |        4474 |        8899 |        4871 |        7555 |        6448 |        5352 |        8316 |        7846 |        4850 |        7840 |        4316 |        6162 |        5810 |        4760 |        7913 |        8154 |        5842 |        6815 |        5664 |        6278 |        5889 |        4345 |        5528 |        6779 |        5845
    miss rate                        |      44.86% |      12.93% |      37.46% |       8.59% |      12.25% |       8.78% |       8.77% |       8.84% |       8.12% |       9.59% |      11.20% |      10.12% |       9.79% |       9.19% |       9.05% |       9.55% |       9.34% |      10.16% |      33.53% |      34.46% |      35.24% |      39.24% |      40.22% |      29.70% |      32.58% |      36.00% |      33.16% |      33.21% |      33.97% |      34.40% |      35.17% |      34.67% |      36.78% |      18.78% |      17.58% |      20.56% |      18.22% |      17.67% |      11.95% |      13.24% |      26.90% |      14.49% |      20.76% |      18.60% |      18.48% |      26.80% |      23.18% |      16.07% |      19.61% |      13.38% |      15.77% |      14.52% |      13.09% |      23.67% |      22.43% |      19.67% |      17.34% |      20.26% |      19.75% |      17.02% |      11.33% |      15.09% |      16.59% |      14.54%
    mpki                             |        0.12 |        0.42 |        0.07 |        0.27 |        0.43 |        0.28 |        0.29 |        0.28 |        0.25 |        0.29 |        0.34 |        0.30 |        0.30 |        0.29 |        0.28 |        0.30 |        0.27 |        0.31 |        0.04 |        0.04 |        0.03 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.03 |        0.03 |        0.04 |        0.04 |        0.03 |        0.04 |        0.34 |        0.29 |        0.37 |        0.33 |        0.28 |        0.19 |        0.24 |        0.59 |        0.31 |        0.45 |        0.41 |        0.37 |        0.56 |        0.50 |        0.28 |        0.47 |        0.24 |        0.34 |        0.32 |        0.28 |        0.53 |        0.54 |        0.39 |        0.41 |        0.34 |        0.37 |        0.36 |        0.25 |        0.32 |        0.37 |        0.34
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   128360084 |    16198877 |    19750979 |    15658429 |    14882859 |    16016955 |    16303013 |    16315126 |    16164178 |    14727443 |    14573939 |    15324139 |    16071498 |    16138445 |    16387478 |    16148197 |    15048442 |    14992175 |     3947518 |     3560946 |     4499418 |     3245407 |     3410493 |     4138652 |     4257279 |     3741794 |     3831650 |     3505311 |     3799755 |     4411246 |     4026798 |     3153238 |     4296110 |     2366183 |     2593436 |     2389108 |     2360914 |     2550458 |     2743019 |     2584701 |     2081423 |     2283211 |     2330766 |     2226266 |     2055104 |     2086320 |     2195470 |     2372247 |     2285979 |     2547644 |     2546348 |     2569347 |     2431682 |     2074208 |     2123430 |     2127156 |     2332132 |     2311636 |     2363501 |     2293026 |     2455040 |     2408346 |     2576906 |     2430065
    num cache misses                 |    59835203 |       29547 |       89775 |       18833 |       16770 |       16832 |       17051 |       17376 |       17353 |       13901 |       18747 |       16267 |       15649 |       14400 |       15532 |       16513 |       14669 |       14769 |       59053 |       46883 |       53155 |       46496 |       48523 |       61806 |       50474 |       52391 |       52406 |       47943 |       63571 |       60803 |       53919 |       47063 |       53875 |      307390 |      314708 |      295885 |      305303 |      302900 |      315658 |      271381 |      211480 |      320660 |      287822 |      323403 |      317545 |      274961 |      283151 |      296668 |      242364 |      382765 |      308989 |      300839 |      324790 |      268611 |      332917 |      345764 |      294360 |      304641 |      297155 |      273553 |      277467 |      260090 |      304465 |      272130
    miss rate                        |      46.62% |       0.18% |       0.45% |       0.12% |       0.11% |       0.11% |       0.10% |       0.11% |       0.11% |       0.09% |       0.13% |       0.11% |       0.10% |       0.09% |       0.09% |       0.10% |       0.10% |       0.10% |       1.50% |       1.32% |       1.18% |       1.43% |       1.42% |       1.49% |       1.19% |       1.40% |       1.37% |       1.37% |       1.67% |       1.38% |       1.34% |       1.49% |       1.25% |      12.99% |      12.13% |      12.38% |      12.93% |      11.88% |      11.51% |      10.50% |      10.16% |      14.04% |      12.35% |      14.53% |      15.45% |      13.18% |      12.90% |      12.51% |      10.60% |      15.02% |      12.13% |      11.71% |      13.36% |      12.95% |      15.68% |      16.25% |      12.62% |      13.18% |      12.57% |      11.93% |      11.30% |      10.80% |      11.82% |      11.20%
    mpki                             |       66.93 |        0.24 |        0.34 |        0.16 |        0.15 |        0.14 |        0.14 |        0.14 |        0.14 |        0.13 |        0.17 |        0.14 |        0.13 |        0.12 |        0.13 |        0.14 |        0.13 |        0.13 |        0.87 |        0.66 |        0.61 |        0.74 |        0.72 |        1.05 |        0.69 |        0.82 |        0.78 |        0.58 |        0.79 |        0.73 |        0.69 |        0.65 |        0.70 |       18.28 |       17.02 |       17.39 |       18.10 |       16.45 |       15.85 |       14.41 |       14.07 |       20.09 |       17.27 |       20.44 |       21.84 |       18.50 |       17.94 |       17.43 |       14.67 |       21.38 |       16.97 |       16.34 |       18.77 |       18.13 |       21.87 |       22.95 |       17.72 |       18.51 |       17.61 |       16.57 |       15.70 |       14.97 |       16.44 |       15.62
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   325111678 |    60203926 |   105882673 |    59947586 |    57147140 |    61410721 |    62565106 |    62394459 |    61673713 |    56455852 |    55906877 |    58459010 |    61429057 |    61967613 |    62561528 |    61732724 |    58280328 |    58076486 |    24134911 |    23832687 |    28726502 |    21209050 |    22647539 |    21259952 |    24257322 |    21364012 |    22505328 |    28075236 |    28343536 |    28142030 |    26552797 |    24612854 |    25836662 |     6725916 |     7346940 |     6864790 |     6809071 |     7389891 |     8051817 |     7548126 |     5963022 |     6346168 |     6659588 |     6220216 |     5738378 |     5896362 |     6234750 |     6810668 |     6562335 |     7157299 |     7282495 |     7261123 |     6821956 |     5778917 |     5914700 |     5848093 |     6496121 |     6572805 |     6702720 |     6556880 |     6977627 |     6824165 |     7223688 |     6794254
    num cache misses                 |     4783656 |      939103 |     1314148 |     1207110 |      844839 |     1218831 |     1366253 |     1371823 |     1230189 |      927260 |      739646 |      978032 |     1252491 |     1277683 |     1388659 |     1307008 |     1012220 |      889687 |      247809 |      221764 |      250077 |      207322 |      206218 |      253691 |      247672 |      230205 |      231596 |      230467 |      228602 |      263113 |      255050 |      213304 |      260399 |      208059 |      234169 |      218679 |      200731 |      201762 |      192526 |      243447 |      251305 |      220204 |      246329 |      228210 |      184490 |      217729 |      229026 |      225704 |      298904 |      203281 |      265404 |      287614 |      231940 |      224598 |      232287 |      217724 |      286865 |      196596 |      222872 |      232343 |      281193 |      287598 |      310633 |      332506
    miss rate                        |       1.47% |       1.56% |       1.24% |       2.01% |       1.48% |       1.98% |       2.18% |       2.20% |       1.99% |       1.64% |       1.32% |       1.67% |       2.04% |       2.06% |       2.22% |       2.12% |       1.74% |       1.53% |       1.03% |       0.93% |       0.87% |       0.98% |       0.91% |       1.19% |       1.02% |       1.08% |       1.03% |       0.82% |       0.81% |       0.93% |       0.96% |       0.87% |       1.01% |       3.09% |       3.19% |       3.19% |       2.95% |       2.73% |       2.39% |       3.23% |       4.21% |       3.47% |       3.70% |       3.67% |       3.22% |       3.69% |       3.67% |       3.31% |       4.55% |       2.84% |       3.64% |       3.96% |       3.40% |       3.89% |       3.93% |       3.72% |       4.42% |       2.99% |       3.33% |       3.54% |       4.03% |       4.21% |       4.30% |       4.89%
    mpki                             |        5.35 |        7.74 |        4.96 |       10.25 |        7.53 |       10.11 |       11.12 |       11.19 |       10.18 |        8.38 |        6.75 |        8.53 |       10.40 |       10.49 |       11.31 |       10.79 |        8.80 |        7.77 |        3.66 |        3.13 |        2.85 |        3.28 |        3.07 |        4.32 |        3.39 |        3.61 |        3.44 |        2.80 |        2.85 |        3.14 |        3.26 |        2.96 |        3.39 |       12.37 |       12.66 |       12.85 |       11.90 |       10.95 |        9.67 |       12.93 |       16.73 |       13.80 |       14.78 |       14.42 |       12.69 |       14.65 |       14.51 |       13.26 |       18.10 |       11.35 |       14.58 |       15.63 |       13.40 |       15.16 |       15.26 |       14.45 |       17.26 |       11.94 |       13.21 |       14.07 |       15.91 |       16.55 |       16.78 |       19.08
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    64797112 |     1034477 |     1464266 |     1246707 |      883287 |     1252548 |     1399120 |     1405169 |     1264862 |      961500 |      783611 |     1014863 |     1284199 |     1307785 |     1418441 |     1339055 |     1044030 |      921685 |      343336 |      300064 |      340388 |      298833 |      289432 |      379145 |      346181 |      327919 |      326486 |      318194 |      344273 |      369502 |      361188 |      299565 |      340178 |      522974 |      556043 |      521708 |      513313 |      511629 |      514898 |      520459 |      467689 |      547802 |      540689 |      559380 |      510071 |      499202 |      518786 |      529094 |      546230 |      593771 |      580949 |      595029 |      564009 |      499056 |      572882 |      571670 |      587761 |      507675 |      526089 |      511758 |      564539 |      553365 |      621787 |      610467
    num cache misses                 |     3385551 |      362217 |     1105272 |      329463 |      169809 |      273975 |      298830 |      276189 |      258525 |      176155 |      161593 |      168611 |      231533 |      228028 |      224834 |      229187 |      156485 |      148126 |      125038 |      125471 |      135099 |      139795 |      127681 |      148160 |      155010 |      143017 |      142907 |      141509 |      135418 |      158401 |      157905 |      137913 |      133867 |       88878 |       89436 |       95234 |       88606 |       86852 |       68658 |       76155 |      135861 |       99991 |      123492 |      110767 |      102933 |      131283 |      117037 |       98564 |      108392 |       79574 |       93517 |       97624 |       95772 |      125533 |      117689 |      104411 |      104447 |      103339 |      107497 |      105762 |       91358 |       99460 |      111923 |      105874
