                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache misses                 |    5376098 |    5379424 |    5371652 |    5377873 |    5377863 |    5380881 |    5384088 |    5377467 |     605710 |     605887 |     605575 |     605619 |     606856 |     606694 |     605584 |     605729 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |       7822 |       7816 |       7822 |       7808 |       7815 |       7819 |       7820 |       7814
    miss rate                        |     89.52% |     89.53% |     89.49% |     89.52% |     89.53% |     89.55% |     89.56% |     89.52% |     98.19% |     98.19% |     98.19% |     98.19% |     98.20% |     98.20% |     98.19% |     98.19% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     55.50% |     55.42% |     55.47% |     55.38% |     55.41% |     55.47% |     55.47% |     55.40%
    mpki                             |      53.71 |      53.74 |      53.66 |      53.72 |      53.72 |      53.75 |      53.79 |      53.72 |       6.05 |       6.05 |       6.05 |       6.05 |       6.06 |       6.06 |       6.05 |       6.05 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   18813757 |          0 |   18801916 |          0 |   18820125 |          0 |   18825639 |          0 |    1222067 |          0 |    1221651 |          0 |    1224032 |          0 |    1221771 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |      16233 |          0 |      16227 |          0 |      16229 |          0 |      16229 |          0
  average dram access latency (ns)   |      98.88 |        inf |      99.52 |        inf |      98.93 |        inf |      97.58 |        inf |      32.06 |        inf |      32.04 |        inf |      32.06 |        inf |      32.05 |        inf |      37.81 |        inf |      37.70 |        inf |      37.59 |        inf |      37.86 |        inf |      33.91 |        inf |      34.17 |        inf |      33.88 |        inf |      33.93 |        inf
  average dram queueing delay        |      67.02 |       0.00 |      67.66 |       0.00 |      67.07 |       0.00 |      65.72 |       0.00 |       0.19 |       0.00 |       0.18 |       0.00 |       0.19 |       0.00 |       0.19 |       0.00 |       5.94 |       0.00 |       5.84 |       0.00 |       5.73 |       0.00 |       5.99 |       0.00 |       2.05 |       0.00 |       2.31 |       0.00 |       2.02 |       0.00 |       2.06 |       0.00
  average dram bandwidth utilization |     38.00% |      0.00% |     38.00% |      0.00% |     38.00% |      0.00% |     38.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1344768 |    1344873 |    1344846 |    1344895 |    1344815 |    1344803 |    1344877 |    1344852 |     603753 |     603920 |     603619 |     603658 |     604868 |     604706 |     603627 |     603765 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |       4005 |       4005 |       4003 |       4004 |       4004 |       4006 |       4006 |       4004
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
